Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-23,05:17,01:30,06:00,07:51,09:30
,02-Apr-23,05:15,01:30,06:00,07:53,09:30
,03-Apr-23,05:12,01:30,06:00,07:55,09:30
,04-Apr-23,05:10,01:30,06:00,07:56,09:30
,05-Apr-23,05:08,01:30,06:00,07:58,09:30
,06-Apr-23,05:06,01:30,06:00,08:00,09:30
,07-Apr-23,05:03,01:30,06:00,08:01,09:30
,08-Apr-23,05:01,01:30,06:00,08:03,09:45
,09-Apr-23,04:59,01:30,06:00,08:05,09:45
,10-Apr-23,04:57,01:30,06:00,08:06,09:45
,11-Apr-23,04:54,01:30,06:00,08:08,09:45
,12-Apr-23,04:52,01:30,06:00,08:10,09:45
,13-Apr-23,04:50,01:30,06:00,08:11,09:45
,14-Apr-23,04:48,01:30,06:00,08:13,09:45
,15-Apr-23,04:46,01:30,06:15,08:15,10:00
,16-Apr-23,04:44,01:30,06:15,08:17,10:00
,17-Apr-23,04:41,01:30,06:15,08:18,10:00
,18-Apr-23,04:38,01:30,06:15,08:20,10:00
,19-Apr-23,04:36,01:30,06:15,08:22,10:00
,20-Apr-23,04:34,01:30,06:15,08:23,10:00
,21-Apr-23,04:31,01:30,06:15,08:25,10:00
,22-Apr-23,04:30,01:30,06:30,08:27,10:00
,23-Apr-23,04:30,01:30,06:30,08:18,10:00
,24-Apr-23,04:30,01:30,06:30,08:20,10:00
,25-Apr-23,04:30,01:30,06:30,08:22,10:00
,26-Apr-23,04:30,01:30,06:30,08:23,10:00
,27-Apr-23,04:30,01:30,06:30,08:25,10:00
,28-Apr-23,04:30,01:30,06:30,08:27,10:00
,29-Apr-23,04:15,01:30,06:30,08:28,10:00
,30-Apr-23,04:15,01:30,06:30,08:30,10:00
