Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
Added this,01-Apr-23Added this,05:17Added this,01:30Added this,06:00Added this,07:51Added this,09:30Added this
Added this,02-Apr-23Added this,05:15Added this,01:30Added this,06:00Added this,07:53Added this,09:30Added this
Added this,03-Apr-23Added this,05:12Added this,01:30Added this,06:00Added this,07:55Added this,09:30Added this
Added this,04-Apr-23Added this,05:10Added this,01:30Added this,06:00Added this,07:56Added this,09:30Added this
Added this,05-Apr-23Added this,05:08Added this,01:30Added this,06:00Added this,07:58Added this,09:30Added this
Added this,06-Apr-23Added this,05:06Added this,01:30Added this,06:00Added this,08:00Added this,09:30Added this
Added this,07-Apr-23Added this,05:03Added this,01:30Added this,06:00Added this,08:01Added this,09:30Added this
Added this,08-Apr-23Added this,05:01Added this,01:30Added this,06:00Added this,08:03Added this,09:45Added this
Added this,09-Apr-23Added this,04:59Added this,01:30Added this,06:00Added this,08:05Added this,09:45Added this
Added this,10-Apr-23Added this,04:57Added this,01:30Added this,06:00Added this,08:06Added this,09:45Added this
Added this,11-Apr-23Added this,04:54Added this,01:30Added this,06:00Added this,08:08Added this,09:45Added this
Added this,12-Apr-23Added this,04:52Added this,01:30Added this,06:00Added this,08:10Added this,09:45Added this
Added this,13-Apr-23Added this,04:50Added this,01:30Added this,06:00Added this,08:11Added this,09:45Added this
Added this,14-Apr-23Added this,04:48Added this,01:30Added this,06:00Added this,08:13Added this,09:45Added this
Added this,15-Apr-23Added this,04:46Added this,01:30Added this,06:15Added this,08:15Added this,10:00Added this
Added this,16-Apr-23Added this,04:44Added this,01:30Added this,06:15Added this,08:17Added this,10:00Added this
Added this,17-Apr-23Added this,04:41Added this,01:30Added this,06:15Added this,08:18Added this,10:00Added this
Added this,18-Apr-23Added this,04:38Added this,01:30Added this,06:15Added this,08:20Added this,10:00Added this
Added this,19-Apr-23Added this,04:36Added this,01:30Added this,06:15Added this,08:22Added this,10:00Added this
Added this,20-Apr-23Added this,04:34Added this,01:30Added this,06:15Added this,08:23Added this,10:00Added this
Added this,21-Apr-23Added this,04:31Added this,01:30Added this,06:15Added this,08:25Added this,10:00Added this
Added this,22-Apr-23Added this,04:30Added this,01:30Added this,06:30Added this,08:27Added this,10:00Added this
Added this,23-Apr-23Added this,04:30Added this,01:30Added this,06:30Added this,08:18Added this,10:00Added this
Added this,24-Apr-23Added this,04:30Added this,01:30Added this,06:30Added this,08:20Added this,10:00Added this
Added this,25-Apr-23Added this,04:30Added this,01:30Added this,06:30Added this,08:22Added this,10:00Added this
Added this,26-Apr-23Added this,04:30Added this,01:30Added this,06:30Added this,08:23Added this,10:00Added this
Added this,27-Apr-23Added this,04:30Added this,01:30Added this,06:30Added this,08:25Added this,10:00Added this
Added this,28-Apr-23Added this,04:30Added this,01:30Added this,06:30Added this,08:27Added this,10:00Added this
Added this,29-Apr-23Added this,04:15Added this,01:30Added this,06:30Added this,08:28Added this,10:00Added this
Added this,30-Apr-23Added this,04:15Added this,01:30Added this,06:30Added this,08:30Added this,10:00Added this
