Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Aug-23,04:15,13:30,18:45,20:59,22:15
,02-Aug-23,04:15,13:30,18:45,20:58,22:15
,03-Aug-23,04:15,13:30,18:45,20:56,22:15
,04-Aug-23,04:15,13:30,18:45,20:54,22:15
,05-Aug-23,04:15,13:30,18:45,20:52,22:15
,06-Aug-23,04:15,13:30,18:45,20:51,22:15
,07-Aug-23,04:15,13:30,18:45,20:49,22:15
,08-Aug-23,04:30,13:30,18:45,20:47,22:15
,09-Aug-23,04:30,13:30,18:45,20:45,22:15
,10-Aug-23,04:30,13:30,18:45,20:43,22:15
,11-Aug-23,04:30,13:30,18:45,20:41,22:15
,12-Aug-23,04:30,13:30,18:45,20:40,22:15
,13-Aug-23,04:30,13:30,18:45,20:38,22:15
,14-Aug-23,04:30,13:30,18:30,20:36,22:15
,15-Aug-23,04:45,13:30,18:30,20:34,22:15
,16-Aug-23,04:45,13:30,18:30,20:32,22:00
,17-Aug-23,04:45,13:30,18:30,20:30,22:00
,18-Aug-23,04:45,13:30,18:30,20:28,22:00
,19-Aug-23,04:45,13:30,18:30,20:26,22:00
,20-Aug-23,04:45,13:30,18:30,20:24,22:00
,21-Aug-23,04:45,13:30,18:30,20:22,22:00
,22-Aug-23,05:00,13:30,18:30,20:19,21:45
,23-Aug-23,05:00,13:30,18:15,20:17,21:45
,24-Aug-23,05:00,13:30,18:15,20:15,21:45
,25-Aug-23,05:00,13:30,18:15,20:13,21:45
,26-Aug-23,05:00,13:30,18:15,20:11,21:45
,27-Aug-23,05:00,13:30,18:15,20:09,21:45
,28-Aug-23,05:00,13:30,18:15,20:07,21:45
,29-Aug-23,05:00,13:30,18:15,20:04,21:45
,30-Aug-23,05:00,13:30,18:15,20:02,21:30
,31-Aug-23,05:00,13:30,18:15,20:00,21:30
