Day,DATE,FAJR,zohar,ASR,MAGHRIB,Esha
,01-Feb-23,06:19,12:45,15:30,17:00,19:30
,02-Feb-23,06:18,12:45,15:30,17:01,19:30
,03-Feb-23,06:16,13:00,15:30,17:03,19:30
,04-Feb-23,06:15,12:45,15:30,17:05,19:30
,05-Feb-23,06:13,12:45,15:30,17:07,19:30
,06-Feb-23,06:11,12:45,15:30,17:09,19:30
,07-Feb-23,06:10,12:45,15:30,17:11,19:30
,08-Feb-23,06:08,12:45,15:30,17:12,19:30
,09-Feb-23,06:06,12:45,15:45,17:14,19:30
,10-Feb-23,06:04,13:00,15:45,17:16,19:30
,11-Feb-23,06:03,12:45,15:45,17:18,19:30
,12-Feb-23,06:01,12:45,15:45,17:20,19:30
,13-Feb-23,05:59,12:45,15:45,17:21,19:30
,14-Feb-23,05:57,12:45,15:45,17:23,19:30
,15-Feb-23,05:55,12:45,15:45,17:25,19:30
,16-Feb-23,05:53,12:45,15:45,17:27,19:30
,17-Feb-23,05:51,13:00,15:45,17:29,19:30
,18-Feb-23,05:49,12:45,16:00,17:31,19:30
,19-Feb-23,05:47,12:45,16:00,17:32,19:30
,20-Feb-23,05:45,12:45,16:00,17:34,19:30
,21-Feb-23,05:43,12:45,16:00,17:36,19:30
,22-Feb-23,05:41,12:45,16:00,17:38,19:30
,23-Feb-23,05:39,12:45,16:00,17:40,19:30
,24-Feb-23,05:37,13:00,16:00,17:41,19:30
,25-Feb-23,05:35,12:45,16:00,17:43,19:30
,26-Feb-23,05:33,12:45,16:00,17:45,19:30
,27-Feb-23,05:31,12:45,16:00,17:47,19:30
,28-Feb-23,05:29,12:45,16:00,17:49,19:30
