Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jul-23,03:30,13:30,19:15,21:27,23:00
,02-Jul-23,03:30,13:30,19:15,21:27,23:00
,03-Jul-23,03:30,13:30,19:15,21:26,22:50
,04-Jul-23,03:30,13:30,19:15,21:26,22:50
,05-Jul-23,03:30,13:30,19:15,21:25,22:50
,06-Jul-23,03:30,13:30,19:15,21:25,22:50
,07-Jul-23,03:30,13:30,19:15,21:24,22:50
,08-Jul-23,03:30,13:30,19:15,21:24,22:50
,09-Jul-23,03:30,13:30,19:15,21:23,22:50
,10-Jul-23,03:30,13:30,19:15,21:22,22:50
,11-Jul-23,03:30,13:30,19:15,21:21,22:50
,12-Jul-23,03:30,13:30,19:15,21:21,22:50
,13-Jul-23,03:30,13:30,19:15,21:20,22:50
,14-Jul-23,03:45,13:30,19:15,21:19,22:50
,15-Jul-23,03:45,13:30,19:15,21:18,22:50
,16-Jul-23,03:45,13:30,19:15,21:17,22:50
,17-Jul-23,03:45,13:30,19:15,21:16,22:40
,18-Jul-23,03:45,13:30,19:15,21:15,22:40
,19-Jul-23,03:45,13:30,19:15,21:14,22:40
,20-Jul-23,03:45,13:30,19:15,21:12,22:40
,21-Jul-23,03:45,13:30,19:15,21:11,22:40
,22-Jul-23,03:45,13:30,19:15,21:10,22:40
,23-Jul-23,03:45,13:30,19:15,21:09,22:40
,24-Jul-23,03:45,13:30,19:15,21:07,22:40
,25-Jul-23,03:45,13:30,19:15,21:06,22:30
,26-Jul-23,03:45,13:30,19:15,21:04,22:30
,27-Jul-23,03:45,13:30,19:15,21:03,22:30
,28-Jul-23,04:00,13:30,19:15,21:01,22:30
,29-Jul-23,04:00,13:30,19:15,21:00,22:30
,30-Jul-23,04:00,13:30,19:15,20:58,22:30
,31-Jul-23,04:00,13:30,19:15,20:57,22:30
