Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-23,06:00,13:30,17:00,18:49,20:15
,02-Oct-23,06:00,13:30,17:00,18:46,20:15
,03-Oct-23,06:00,13:30,17:00,18:44,20:15
,04-Oct-23,06:00,13:30,17:00,18:42,20:15
,05-Oct-23,06:00,13:30,17:00,18:40,20:15
,06-Oct-23,06:00,13:30,17:00,18:37,20:15
,07-Oct-23,06:00,13:30,17:00,18:35,20:15
,08-Oct-23,06:10,13:30,16:45,18:33,20:00
,09-Oct-23,06:10,13:30,16:45,18:31,20:00
,10-Oct-23,06:10,13:30,16:45,18:28,20:00
,11-Oct-23,06:10,13:30,16:45,18:26,20:00
,12-Oct-23,06:10,13:30,16:45,18:24,20:00
,13-Oct-23,06:10,13:30,16:45,18:22,20:00
,14-Oct-23,06:10,13:30,16:45,18:20,20:00
,15-Oct-23,06:20,13:30,16:45,18:18,20:00
,16-Oct-23,06:20,13:30,16:30,18:15,19:45
,17-Oct-23,06:20,13:30,16:30,18:13,19:45
,18-Oct-23,06:20,13:30,16:30,18:11,19:45
,19-Oct-23,06:20,13:30,16:30,18:09,19:45
,20-Oct-23,06:20,13:30,16:30,18:07,19:45
,21-Oct-23,06:20,13:30,16:30,18:05,19:45
,22-Oct-23,06:30,13:30,16:30,18:03,19:45
,23-Oct-23,06:30,13:30,16:30,18:01,19:45
,24-Oct-23,06:30,13:30,16:15,17:59,19:30
,25-Oct-23,06:30,13:30,16:15,17:57,19:30
,26-Oct-23,06:30,13:30,16:15,17:55,19:30
,27-Oct-23,06:30,13:30,16:15,17:53,19:30
,28-Oct-23,06:30,13:30,16:15,17:51,19:30
,29-Oct-23,05:30,13:00,15:15,16:49,19:20
,30-Oct-23,05:40,13:00,15:00,16:47,19:20
,31-Oct-23,05:40,13:00,15:00,16:46,19:20
