Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Sep-23,05:10,13:30,18:00,19:57,21:15
,02-Sep-23,05:10,13:30,18:00,19:55,21:15
,03-Sep-23,05:10,13:30,18:00,19:53,21:15
,04-Sep-23,05:10,13:30,18:00,19:50,21:15
,05-Sep-23,05:10,13:30,18:00,19:48,21:15
,06-Sep-23,05:10,13:30,18:00,19:46,21:15
,07-Sep-23,05:10,13:30,18:00,19:44,21:15
,08-Sep-23,05:10,13:30,18:00,19:41,21:15
,09-Sep-23,05:10,13:30,17:45,19:39,21:00
,10-Sep-23,05:15,13:30,17:45,19:37,21:00
,11-Sep-23,05:15,13:30,17:45,19:35,21:00
,12-Sep-23,05:15,13:30,17:45,19:32,21:00
,13-Sep-23,05:15,13:30,17:45,19:30,21:00
,14-Sep-23,05:15,13:30,17:45,19:28,21:00
,15-Sep-23,05:15,13:30,17:45,19:25,21:00
,16-Sep-23,05:15,13:30,17:30,19:23,20:45
,17-Sep-23,05:30,13:30,17:30,19:21,20:45
,18-Sep-23,05:30,13:30,17:30,19:18,20:45
,19-Sep-23,05:30,13:30,17:30,19:16,20:45
,20-Sep-23,05:30,13:30,17:30,19:14,20:45
,21-Sep-23,05:30,13:30,17:30,19:12,20:45
,22-Sep-23,05:30,13:30,17:30,19:09,20:45
,23-Sep-23,05:30,13:30,17:15,19:07,20:30
,24-Sep-23,05:45,13:30,17:15,19:05,20:30
,25-Sep-23,05:45,13:30,17:15,19:02,20:30
,26-Sep-23,05:45,13:30,17:15,19:00,20:30
,27-Sep-23,05:45,13:30,17:15,18:58,20:30
,28-Sep-23,05:45,13:30,17:15,18:55,20:30
,29-Sep-23,05:45,13:30,17:15,18:53,20:30
,30-Sep-23,05:45,13:30,17:15,18:51,20:30
