Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Mar-23,06:00,13:00,16:30,17:43,19:30
,02-Mar-23,06:00,13:00,16:30,17:45,19:30
,03-Mar-23,06:00,13:00,16:30,17:47,19:30
,04-Mar-23,05:45,13:00,16:45,17:49,19:45
,05-Mar-23,05:45,13:00,16:45,17:50,19:45
,06-Mar-23,05:45,13:00,16:45,17:52,19:45
,07-Mar-23,05:45,13:00,16:45,17:54,19:45
,08-Mar-23,05:45,13:00,16:45,17:55,19:45
,09-Mar-23,05:45,13:00,16:45,17:57,19:45
,10-Mar-23,05:45,13:00,16:45,17:59,19:45
,11-Mar-23,05:30,13:00,16:45,18:01,20:00
,12-Mar-23,05:30,13:00,16:45,18:02,20:00
,13-Mar-23,05:30,13:00,16:45,18:04,20:00
,14-Mar-23,05:30,13:00,16:45,18:06,20:00
,15-Mar-23,05:30,13:00,16:45,18:08,20:00
,16-Mar-23,05:30,13:00,16:45,18:09,20:00
,17-Mar-23,05:30,13:00,16:45,18:11,20:00
,18-Mar-23,05:15,13:00,16:45,18:13,20:00
,19-Mar-23,05:15,13:00,16:45,18:14,20:00
,20-Mar-23,05:15,13:00,16:45,18:16,20:00
,21-Mar-23,05:15,13:00,16:45,18:18,20:00
,22-Mar-23,05:15,13:00,16:45,18:19,20:00
,23-Mar-23,05:15,13:00,16:45,18:21,20:00
,24-Mar-23,05:15,13:00,16:45,18:23,20:00
,25-Mar-23,05:15,13:00,16:45,18:24,20:00
,26-Mar-23,05:45,13:30,18:00,19:26,21:30
,27-Mar-23,05:45,13:30,18:00,19:28,21:30
,28-Mar-23,05:45,13:30,18:00,19:30,21:30
,29-Mar-23,05:45,13:30,18:00,19:31,21:30
,30-Mar-23,05:45,13:30,18:00,19:33,21:30
,31-Mar-23,05:45,13:30,18:00,19:35,21:30
