Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-23,05:27,13:30,18:15,19:51,21:30
,02-Apr-23,05:25,13:30,18:15,19:53,21:30
,03-Apr-23,05:23,13:30,18:15,19:55,21:30
,04-Apr-23,05:21,13:30,18:15,19:56,21:30
,05-Apr-23,05:18,13:30,18:15,19:58,21:30
,06-Apr-23,05:16,13:30,18:15,20:00,21:30
,07-Apr-23,05:14,13:30,18:30,20:01,21:30
,08-Apr-23,05:12,13:30,18:30,20:03,21:30
,09-Apr-23,05:09,13:30,18:30,20:05,21:30
,10-Apr-23,05:07,13:30,18:30,20:06,21:30
,11-Apr-23,05:05,13:30,18:30,20:08,21:45
,12-Apr-23,05:03,13:30,18:30,20:10,21:45
,13-Apr-23,05:00,13:30,18:30,20:11,21:45
,14-Apr-23,04:57,13:30,18:30,20:13,21:45
,15-Apr-23,04:55,13:30,18:30,20:15,21:45
,16-Apr-23,04:52,13:30,18:30,20:17,21:45
,17-Apr-23,04:49,13:30,18:45,20:18,21:45
,18-Apr-23,04:47,13:30,18:45,20:20,21:45
,19-Apr-23,04:45,13:30,18:45,20:22,21:45
,20-Apr-23,04:42,13:30,18:45,20:23,21:45
,21-Apr-23,04:45,13:30,18:45,20:13,21:45
,22-Apr-23,04:45,13:30,18:45,20:15,22:00
,23-Apr-23,04:45,13:30,18:45,20:16,22:00
,24-Apr-23,04:45,13:30,18:45,20:18,22:00
,25-Apr-23,04:45,13:30,18:45,20:20,22:00
,26-Apr-23,04:45,13:30,18:45,20:21,22:00
,27-Apr-23,04:45,13:30,18:45,20:23,22:00
,28-Apr-23,04:30,13:30,19:00,20:25,22:00
,29-Apr-23,04:30,13:30,19:00,20:26,22:00
,30-Apr-23,04:30,13:30,19:00,20:28,22:00
