Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-23,06:15,13:30,17:00,18:44,20:15
,02-Oct-23,06:15,13:30,17:00,18:42,20:15
,03-Oct-23,06:15,13:30,17:00,18:40,20:15
,04-Oct-23,06:15,13:30,17:00,18:38,20:15
,05-Oct-23,06:15,13:30,17:00,18:35,20:15
,06-Oct-23,06:15,13:30,17:00,18:33,20:15
,07-Oct-23,06:15,13:30,17:00,18:31,20:15
,08-Oct-23,06:15,13:30,16:45,18:29,20:00
,09-Oct-23,06:15,13:30,16:45,18:26,20:00
,10-Oct-23,06:15,13:30,16:45,18:24,20:00
,11-Oct-23,06:15,13:30,16:45,18:22,20:00
,12-Oct-23,06:15,13:30,16:45,18:20,20:00
,13-Oct-23,06:15,13:30,16:45,18:18,20:00
,14-Oct-23,06:15,13:30,16:45,18:15,20:00
,15-Oct-23,06:30,13:30,16:30,18:13,19:45
,16-Oct-23,06:30,13:30,16:30,18:11,19:45
,17-Oct-23,06:30,13:30,16:30,18:09,19:45
,18-Oct-23,06:30,13:30,16:30,18:07,19:45
,19-Oct-23,06:30,13:30,16:30,18:05,19:45
,20-Oct-23,06:30,13:30,16:30,18:03,19:45
,21-Oct-23,06:30,13:30,16:30,18:01,19:45
,22-Oct-23,06:30,13:30,16:15,17:59,19:45
,23-Oct-23,06:30,13:30,16:15,17:57,19:45
,24-Oct-23,06:30,13:30,16:15,17:55,19:45
,25-Oct-23,06:30,13:30,16:15,17:53,19:45
,26-Oct-23,06:30,13:30,16:15,17:51,19:45
,27-Oct-23,06:30,13:30,16:15,17:49,19:45
,28-Oct-23,06:30,13:30,16:15,17:47,19:45
,29-Oct-23,06:00,13:15,15:15,16:45,19:30
,30-Oct-23,06:00,13:15,15:15,16:43,19:30
,31-Oct-23,06:00,13:15,15:15,16:41,19:30
