Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-23,06:15,13:30,17:15,18:44,20:30
,02-Oct-23,06:15,13:30,17:15,18:42,20:30
,03-Oct-23,06:15,13:30,17:15,18:40,20:30
,04-Oct-23,06:15,13:30,17:15,18:38,20:30
,05-Oct-23,06:15,13:30,17:15,18:35,20:30
,06-Oct-23,06:15,13:30,17:15,18:33,20:30
,07-Oct-23,06:15,13:30,17:15,18:31,20:30
,08-Oct-23,06:30,13:30,17:15,18:29,20:15
,09-Oct-23,06:30,13:30,17:00,18:27,20:15
,10-Oct-23,06:30,13:30,17:00,18:24,20:15
,11-Oct-23,06:30,13:30,17:00,18:22,20:15
,12-Oct-23,06:30,13:30,17:00,18:20,20:15
,13-Oct-23,06:30,13:30,17:00,18:18,20:15
,14-Oct-23,06:30,13:30,17:00,18:16,20:15
,15-Oct-23,06:45,13:30,17:00,18:14,20:00
,16-Oct-23,06:45,13:30,16:45,18:11,20:00
,17-Oct-23,06:45,13:30,16:45,18:09,20:00
,18-Oct-23,06:45,13:30,16:45,18:07,20:00
,19-Oct-23,06:45,13:30,16:45,18:05,20:00
,20-Oct-23,06:45,13:30,16:45,18:03,20:00
,21-Oct-23,06:45,13:30,16:45,18:01,20:00
,22-Oct-23,07:00,13:30,16:45,17:59,20:00
,23-Oct-23,07:00,13:30,16:30,17:58,20:00
,24-Oct-23,07:00,13:30,16:30,17:55,20:00
,25-Oct-23,07:00,13:30,16:30,17:53,20:00
,26-Oct-23,07:00,13:30,16:30,17:51,20:00
,27-Oct-23,07:00,13:30,16:30,17:49,20:00
,28-Oct-23,07:00,13:30,16:30,17:47,20:00
,29-Oct-23,06:00,13:00,15:15,16:46,19:30
,30-Oct-23,06:00,13:00,15:15,16:44,19:30
,31-Oct-23,06:00,13:00,15:15,16:42,19:30
