Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Dec-23,07:00,13:00,14:30,16:03,19:30
,02-Dec-23,07:00,13:00,14:30,16:03,19:30
,03-Dec-23,07:00,13:00,14:30,16:02,19:30
,04-Dec-23,07:00,13:00,14:30,16:02,19:30
,05-Dec-23,07:00,13:00,14:30,16:01,19:30
,06-Dec-23,07:00,13:00,14:30,16:01,19:30
,07-Dec-23,07:00,13:00,14:30,16:00,19:30
,08-Dec-23,07:00,13:00,14:30,16:00,19:30
,09-Dec-23,07:00,13:00,14:30,16:00,19:30
,10-Dec-23,07:00,13:00,14:30,16:00,19:30
,11-Dec-23,07:00,13:00,14:30,16:00,19:30
,12-Dec-23,07:00,13:00,14:30,16:00,19:30
,13-Dec-23,07:00,13:00,14:30,16:00,19:30
,14-Dec-23,07:00,13:00,14:30,16:00,19:30
,15-Dec-23,07:00,13:00,14:30,16:00,19:30
,16-Dec-23,07:00,13:00,14:30,16:00,19:30
,17-Dec-23,07:00,13:00,14:30,16:00,19:30
,18-Dec-23,07:00,13:00,14:30,16:00,19:30
,19-Dec-23,07:00,13:00,14:30,16:01,19:30
,20-Dec-23,07:00,13:00,14:30,16:01,19:30
,21-Dec-23,07:00,13:00,14:30,16:02,19:30
,22-Dec-23,07:00,13:00,14:30,16:02,19:30
,23-Dec-23,07:00,13:00,14:30,16:03,19:30
,24-Dec-23,07:00,13:00,14:30,16:03,19:30
,25-Dec-23,07:00,13:00,14:30,16:04,19:30
,26-Dec-23,07:00,13:00,14:30,16:05,19:30
,27-Dec-23,07:00,13:00,14:30,16:06,19:30
,28-Dec-23,07:00,13:00,14:30,16:06,19:30
,29-Dec-23,07:00,13:00,14:30,16:07,19:30
,30-Dec-23,07:00,13:00,14:30,16:08,19:30
,31-Dec-23,07:00,13:00,14:30,16:09,19:30
