Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jul-23,03:30,13:30,19:00,21:29,22:50
,02-Jul-23,03:30,13:30,19:00,21:29,22:50
,03-Jul-23,03:30,13:30,19:00,21:28,22:50
,04-Jul-23,03:30,13:30,19:00,21:28,22:50
,05-Jul-23,03:30,13:30,19:00,21:27,22:50
,06-Jul-23,03:30,13:30,19:00,21:27,22:50
,07-Jul-23,03:30,13:30,19:00,21:26,22:40
,08-Jul-23,03:30,13:30,19:00,21:26,22:40
,09-Jul-23,03:30,13:30,19:00,21:25,22:40
,10-Jul-23,03:30,13:30,19:00,21:24,22:40
,11-Jul-23,03:30,13:30,19:00,21:23,22:40
,12-Jul-23,03:30,13:30,19:00,21:22,22:40
,13-Jul-23,03:30,13:30,19:00,21:22,22:40
,14-Jul-23,03:30,13:30,19:00,21:21,22:40
,15-Jul-23,03:30,13:30,19:00,21:20,22:40
,16-Jul-23,03:30,13:30,19:00,21:19,22:40
,17-Jul-23,03:30,13:30,19:00,21:17,22:30
,18-Jul-23,03:30,13:30,19:00,21:16,22:30
,19-Jul-23,03:30,13:30,19:00,21:15,22:30
,20-Jul-23,04:00,13:30,19:00,21:14,22:30
,21-Jul-23,04:00,13:30,19:00,21:13,22:30
,22-Jul-23,04:00,13:30,19:00,21:12,22:30
,23-Jul-23,04:00,13:30,19:00,21:10,22:30
,24-Jul-23,04:00,13:30,19:00,21:09,22:30
,25-Jul-23,04:00,13:30,18:45,21:07,22:30
,26-Jul-23,04:00,13:30,18:45,21:06,22:30
,27-Jul-23,04:00,13:30,18:45,21:05,22:30
,28-Jul-23,04:00,13:30,18:45,21:03,22:30
,29-Jul-23,04:00,13:30,18:45,21:02,22:15
,30-Jul-23,04:00,13:30,18:45,21:00,22:15
,31-Jul-23,04:00,13:30,18:45,20:58,22:15
