Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-May-23,04:45,13:30,19:15,20:27,22:00
,02-May-23,04:45,13:30,19:15,20:29,22:00
,03-May-23,04:45,13:30,19:15,20:31,22:00
,04-May-23,04:45,13:30,19:15,20:32,22:00
,05-May-23,04:45,13:30,19:15,20:34,22:00
,06-May-23,04:45,13:30,19:15,20:36,22:00
,07-May-23,04:45,13:30,19:15,20:37,22:00
,08-May-23,04:45,13:30,19:15,20:39,22:00
,09-May-23,04:30,13:30,19:15,20:40,22:15
,10-May-23,04:30,13:30,19:15,20:42,22:15
,11-May-23,04:30,13:30,19:15,20:43,22:15
,12-May-23,04:30,13:30,19:15,20:45,22:15
,13-May-23,04:30,13:30,19:15,20:46,22:15
,14-May-23,04:30,13:30,19:15,20:48,22:15
,15-May-23,04:30,13:30,19:15,20:49,22:15
,16-May-23,04:30,13:30,19:15,20:51,22:30
,17-May-23,04:30,13:30,19:15,20:52,22:30
,18-May-23,04:30,13:30,19:15,20:54,22:30
,19-May-23,04:15,13:30,19:15,20:55,22:30
,20-May-23,04:15,13:30,19:15,20:57,22:30
,21-May-23,04:15,13:30,19:15,20:58,22:30
,22-May-23,04:15,13:30,19:15,20:59,22:30
,23-May-23,04:15,13:30,19:15,21:01,22:30
,24-May-23,04:15,13:30,19:15,21:02,22:45
,25-May-23,04:15,13:30,19:15,21:03,22:45
,26-May-23,04:15,13:30,19:15,21:05,22:45
,27-May-23,04:15,13:30,19:15,21:06,22:45
,28-May-23,04:15,13:30,19:15,21:07,22:45
,29-May-23,04:15,13:30,19:15,21:08,22:45
,30-May-23,04:15,13:30,19:15,21:09,22:45
,31-May-23,04:15,13:30,19:15,21:11,22:45
