Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-23,05:32,13:30,18:00,19:51,21:45
,02-Apr-23,05:30,13:30,18:00,19:53,21:45
,03-Apr-23,05:28,13:30,18:00,19:55,21:45
,04-Apr-23,05:26,13:30,18:00,19:56,21:45
,05-Apr-23,05:23,13:30,18:00,19:58,21:45
,06-Apr-23,05:21,13:30,18:00,20:00,21:45
,07-Apr-23,05:19,13:30,18:00,20:01,21:45
,08-Apr-23,05:17,13:30,18:15,20:03,22:00
,09-Apr-23,05:14,13:30,18:15,20:05,22:00
,10-Apr-23,05:12,13:30,18:15,20:06,22:00
,11-Apr-23,05:10,13:30,18:15,20:08,22:00
,12-Apr-23,05:08,13:30,18:15,20:10,22:00
,13-Apr-23,05:05,13:30,18:15,20:11,22:00
,14-Apr-23,05:02,13:30,18:15,20:13,22:00
,15-Apr-23,05:00,13:30,18:15,20:15,22:00
,16-Apr-23,04:57,13:30,18:15,20:17,22:00
,17-Apr-23,04:54,13:30,18:15,20:18,22:00
,18-Apr-23,04:52,13:30,18:15,20:20,22:00
,19-Apr-23,04:50,13:30,18:15,20:22,22:00
,20-Apr-23,04:47,13:30,18:15,20:23,22:00
,21-Apr-23,05:00,13:30,18:15,20:15,22:00
,22-Apr-23,05:00,13:30,18:15,20:17,22:00
,23-Apr-23,05:00,13:30,18:30,20:18,22:00
,24-Apr-23,05:00,13:30,18:30,20:20,22:00
,25-Apr-23,05:00,13:30,18:30,20:22,22:00
,26-Apr-23,05:00,13:30,18:30,20:23,22:00
,27-Apr-23,05:00,13:30,18:30,20:25,22:00
,28-Apr-23,05:00,13:30,18:30,20:27,22:00
,29-Apr-23,04:30,13:30,18:30,20:28,22:15
,30-Apr-23,04:30,13:30,18:30,20:30,22:15
