Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Sep-23,04:58,13:45,18:00,19:58,21:15
,02-Sep-23,04:59,13:30,18:00,19:56,21:15
,03-Sep-23,05:01,13:30,18:00,19:53,21:15
,04-Sep-23,05:02,13:30,18:00,19:51,21:15
,05-Sep-23,05:04,13:30,18:00,19:49,21:15
,06-Sep-23,05:06,13:30,18:00,19:47,21:15
,07-Sep-23,05:07,13:30,18:00,19:44,21:15
,08-Sep-23,05:09,13:45,18:00,19:42,21:15
,09-Sep-23,05:10,13:30,17:45,19:40,21:00
,10-Sep-23,05:12,13:30,17:45,19:37,21:00
,11-Sep-23,05:14,13:30,17:45,19:35,21:00
,12-Sep-23,05:15,13:30,17:45,19:33,21:00
,13-Sep-23,05:17,13:30,17:45,19:31,21:00
,14-Sep-23,05:18,13:30,17:45,19:28,21:00
,15-Sep-23,05:20,13:45,17:45,19:26,21:00
,16-Sep-23,05:23,13:30,17:30,19:24,20:45
,17-Sep-23,05:24,13:30,17:30,19:21,20:45
,18-Sep-23,05:26,13:30,17:30,19:19,20:45
,19-Sep-23,05:28,13:30,17:30,19:17,20:45
,20-Sep-23,05:30,13:30,17:30,19:14,20:45
,21-Sep-23,05:32,13:30,17:30,19:12,20:45
,22-Sep-23,05:34,13:45,17:30,19:10,20:45
,23-Sep-23,05:36,13:30,17:15,19:07,20:30
,24-Sep-23,05:37,13:30,17:15,19:05,20:30
,25-Sep-23,05:40,13:30,17:15,19:03,20:30
,26-Sep-23,05:42,13:30,17:15,19:01,20:30
,27-Sep-23,05:43,13:30,17:15,18:58,20:30
,28-Sep-23,05:46,13:30,17:15,18:56,20:30
,29-Sep-23,05:47,13:45,17:15,18:54,20:30
,30-Sep-23,05:49,13:30,17:15,18:51,20:30
