Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-23,05:41,13:30,18:00,19:42,21:30
,02-Apr-23,05:19,13:30,18:00,19:43,21:30
,03-Apr-23,05:17,13:30,18:00,19:45,21:30
,04-Apr-23,05:15,13:30,18:00,19:47,21:30
,05-Apr-23,05:12,13:30,18:00,19:49,21:30
,06-Apr-23,05:10,13:30,18:00,19:50,21:30
,07-Apr-23,05:08,13:30,18:00,19:52,21:30
,08-Apr-23,05:06,13:30,18:15,19:54,21:45
,09-Apr-23,05:03,13:30,18:15,19:55,21:45
,10-Apr-23,05:01,13:30,18:15,19:57,21:45
,11-Apr-23,04:59,13:30,18:15,19:59,21:45
,12-Apr-23,04:57,13:30,18:15,20:00,21:45
,13-Apr-23,04:55,13:30,18:15,20:02,21:45
,14-Apr-23,04:52,13:30,18:15,20:04,21:45
,15-Apr-23,04:50,13:30,18:15,20:05,21:45
,16-Apr-23,04:48,13:30,18:15,20:07,21:45
,17-Apr-23,04:46,13:30,18:15,20:09,21:45
,18-Apr-23,04:43,13:30,18:15,20:10,21:45
,19-Apr-23,04:41,13:30,18:15,20:12,21:45
,20-Apr-23,04:39,13:30,18:15,20:14,21:45
,21-Apr-23,04:36,13:30,18:15,20:15,21:45
,22-Apr-23,04:34,13:30,18:30,20:17,22:00
,23-Apr-23,04:31,13:30,18:30,20:19,22:00
,24-Apr-23,04:28,13:30,18:30,20:20,22:00
,25-Apr-23,04:26,13:30,18:30,20:22,22:00
,26-Apr-23,04:24,13:30,18:30,20:24,22:00
,27-Apr-23,04:21,13:30,18:30,20:25,22:00
,28-Apr-23,04:20,13:30,18:30,20:27,22:00
,29-Apr-23,04:18,13:30,18:30,20:29,22:00
,30-Apr-23,04:15,13:30,18:30,20:30,22:00
