Day,DATE,FAJR,zohar,ASR,MAGHRIB,Esha
,01-Feb-23,06:56,13:00,15:30,16:58,19:30
,02-Feb-23,06:54,13:00,15:30,17:00,19:30
,03-Feb-23,06:53,13:00,15:30,17:02,7: 30
,04-Feb-23,06:51,13:00,15:45,17:03,19:30
,05-Feb-23,06:50,13:00,15:45,17:05,19:30
,06-Feb-23,06:48,13:00,15:45,17:07,19:30
,07-Feb-23,06:46,13:00,15:45,17:09,7: 30
,08-Feb-23,06:44,13:00,15:45,17:11,19:30
,09-Feb-23,06:43,13:00,15:45,17:13,19:30
,10-Feb-23,06:41,13:00,15:45,17:14,7: 30
,11-Feb-23,06:39,13:00,16:00,17:16,19:30
,12-Feb-23,06:37,13:00,16:00,17:18,19:30
,13-Feb-23,06:35,13:00,16:00,17:20,19:30
,14-Feb-23,06:34,13:00,16:00,17:22,7: 30
,15-Feb-23,06:32,13:00,16:00,17:24,19:30
,16-Feb-23,06:30,13:00,16:00,17:25,19:30
,17-Feb-23,06:28,13:00,16:00,17:27,7: 30
,18-Feb-23,06:26,13:00,16:00,17:29,19:30
,19-Feb-23,06:24,13:00,16:00,17:31,19:30
,20-Feb-23,06:22,13:00,16:00,17:33,19:30
,21-Feb-23,06:20,13:00,16:00,17:34,7: 30
,22-Feb-23,06:18,13:00,16:00,17:36,19:30
,23-Feb-23,06:16,13:00,16:00,17:38,19:30
,24-Feb-23,06:14,13:00,16:00,17:40,7: 30
,25-Feb-23,06:12,13:00,16:15,17:42,19:30
,26-Feb-23,06:09,13:00,16:15,17:43,19:30
,27-Feb-23,06:07,13:00,16:15,17:45,19:30
,28-Feb-23,06:05,13:00,16:15,17:47,7: 30
