Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Sep-23,05:30,13:30,18:30,19:55,21:30
,02-Sep-23,05:32,13:30,18:15,19:53,21:15
,03-Sep-23,05:33,13:30,18:15,19:51,21:15
,04-Sep-23,05:35,13:30,18:15,19:48,21:15
,05-Sep-23,05:36,13:30,18:15,19:46,21:15
,06-Sep-23,05:38,13:30,18:15,19:44,21:15
,07-Sep-23,05:40,13:30,18:15,19:42,21:15
,08-Sep-23,05:41,13:30,18:15,19:39,21:15
,09-Sep-23,05:43,13:30,18:00,19:37,21:00
,10-Sep-23,05:44,13:30,18:00,19:35,21:00
,11-Sep-23,05:46,13:30,18:00,19:33,21:00
,12-Sep-23,05:48,13:30,18:00,19:30,21:00
,13-Sep-23,05:49,13:30,18:00,19:28,21:00
,14-Sep-23,05:51,13:30,18:00,19:26,21:00
,15-Sep-23,05:52,13:30,18:00,19:23,21:00
,16-Sep-23,05:54,13:30,17:45,19:21,20:45
,17-Sep-23,05:56,13:30,17:45,19:19,20:45
,18-Sep-23,05:57,13:30,17:45,19:16,20:45
,19-Sep-23,05:59,13:30,17:45,19:14,20:45
,20-Sep-23,06:00,13:30,17:45,19:12,20:45
,21-Sep-23,06:02,13:30,17:45,19:10,20:45
,22-Sep-23,06:04,13:30,17:45,19:07,20:45
,23-Sep-23,06:05,13:30,17:30,19:05,20:30
,24-Sep-23,06:07,13:30,17:30,19:03,20:30
,25-Sep-23,06:08,13:30,17:30,19:00,20:30
,26-Sep-23,06:10,13:30,17:30,18:58,20:30
,27-Sep-23,06:12,13:30,17:30,18:56,20:30
,28-Sep-23,06:13,13:30,17:30,18:53,20:30
,29-Sep-23,06:15,13:30,17:30,18:51,20:30
,30-Sep-23,06:16,13:30,17:30,18:49,20:30
