Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-23,05:21,13:30,18:15,19:42,21:30
,02-Apr-23,05:18,13:30,18:15,19:44,21:30
,03-Apr-23,05:16,13:30,18:15,19:45,21:30
,04-Apr-23,05:14,13:30,18:15,19:47,21:30
,05-Apr-23,05:12,13:30,18:15,19:49,21:30
,06-Apr-23,05:09,13:30,18:15,19:50,21:30
,07-Apr-23,05:07,13:30,18:15,19:51,21:30
,08-Apr-23,05:05,13:30,18:30,19:54,21:45
,09-Apr-23,05:03,13:30,18:30,19:55,21:45
,10-Apr-23,05:00,13:30,18:30,19:57,21:45
,11-Apr-23,04:58,13:30,18:30,19:59,21:45
,12-Apr-23,04:56,13:30,18:30,20:01,21:45
,13-Apr-23,04:54,13:30,18:30,20:02,21:45
,14-Apr-23,04:52,13:30,18:30,20:04,21:45
,15-Apr-23,04:50,13:30,18:30,20:06,21:50
,16-Apr-23,04:47,13:30,18:30,20:07,21:50
,17-Apr-23,04:45,13:30,18:30,20:09,21:50
,18-Apr-23,04:42,13:30,18:30,20:11,21:50
,19-Apr-23,04:40,13:30,18:30,20:12,21:50
,20-Apr-23,04:38,13:30,18:30,20:14,21:50
,21-Apr-23,04:35,13:30,18:30,20:16,21:50
,22-Apr-23,04:30,13:30,18:30,20:17,22:00
,23-Apr-23,04:30,13:30,18:30,20:19,22:00
,24-Apr-23,04:30,13:30,18:30,20:21,22:00
,25-Apr-23,04:30,13:30,18:30,20:22,22:00
,26-Apr-23,04:30,13:30,18:30,20:24,22:00
,27-Apr-23,04:30,13:30,18:30,20:26,22:00
,28-Apr-23,04:30,13:30,18:30,20:27,22:00
,29-Apr-23,04:15,13:30,18:30,20:29,22:15
,30-Apr-23,04:15,13:30,18:30,20:30,22:15
