Day,DATE,FAJR,zohar,ASR,MAGHRIB,Esha
,01-Feb-23,06:30,13:30,15:30,16:56,19:00
,02-Feb-23,06:30,13:30,15:30,16:57,19:00
,03-Feb-23,06:30,13:30,15:30,16:59,19:00
,04-Feb-23,06:30,13:30,15:30,17:01,19:00
,05-Feb-23,06:30,13:30,15:30,17:03,19:00
,06-Feb-23,06:30,13:30,15:30,17:05,19:00
,07-Feb-23,06:30,13:30,15:30,17:07,19:00
,08-Feb-23,06:30,13:30,15:30,17:08,19:00
,09-Feb-23,06:30,13:30,15:30,17:10,19:00
,10-Feb-23,06:30,13:30,15:30,17:12,19:00
,11-Feb-23,06:15,13:30,15:45,17:14,19:00
,12-Feb-23,06:15,13:30,15:45,17:16,19:00
,13-Feb-23,06:15,13:30,15:45,17:17,19:00
,14-Feb-23,06:15,13:30,15:45,17:19,19:00
,15-Feb-23,06:15,13:30,15:45,17:21,19:00
,16-Feb-23,06:15,13:30,15:45,17:23,19:00
,17-Feb-23,06:15,13:30,15:45,17:25,19:00
,18-Feb-23,06:15,13:30,15:45,17:27,19:00
,19-Feb-23,06:00,13:30,16:00,17:28,20:00
,20-Feb-23,06:00,13:30,16:00,17:30,20:00
,21-Feb-23,06:00,13:30,16:00,17:32,20:00
,22-Feb-23,06:00,13:30,16:00,17:34,20:00
,23-Feb-23,06:00,13:30,16:00,17:36,20:00
,24-Feb-23,06:00,13:30,16:00,17:37,20:00
,25-Feb-23,06:00,13:30,16:00,17:39,20:00
,26-Feb-23,06:00,13:30,16:00,17:41,20:00
,27-Feb-23,06:00,13:30,16:00,17:43,20:00
,28-Feb-23,06:00,13:30,16:00,17:45,20:00
