Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jan-23,06:45,13:00,14:45,16:08,19:00
,02-Jan-23,06:45,13:00,14:45,16:09,19:00
,03-Jan-23,06:45,13:00,14:45,16:10,19:00
,04-Jan-23,06:45,13:00,14:45,16:11,19:00
,05-Jan-23,06:45,13:00,14:45,16:13,19:00
,06-Jan-23,06:45,13:10,14:45,16:14,19:00
,07-Jan-23,06:45,13:00,14:45,16:15,19:00
,08-Jan-23,06:45,13:00,14:45,16:16,19:00
,09-Jan-23,06:45,13:00,14:45,16:18,19:00
,10-Jan-23,06:45,13:00,14:45,16:19,19:00
,11-Jan-23,06:45,13:00,15:00,16:21,19:00
,12-Jan-23,06:45,13:00,15:00,16:22,19:00
,13-Jan-23,06:45,13:10,15:00,16:23,19:00
,14-Jan-23,06:45,13:00,15:00,16:25,19:00
,15-Jan-23,06:45,13:00,15:00,16:27,19:00
,16-Jan-23,06:45,13:00,15:00,16:28,19:00
,17-Jan-23,06:45,13:00,15:00,16:30,19:00
,18-Jan-23,06:45,13:00,15:00,16:31,19:00
,19-Jan-23,06:45,13:00,15:00,16:33,19:00
,20-Jan-23,06:45,13:10,15:00,16:35,19:00
,21-Jan-23,06:45,13:00,15:15,16:36,19:00
,22-Jan-23,06:45,13:00,15:15,16:38,19:00
,23-Jan-23,06:45,13:00,15:15,16:40,19:00
,24-Jan-23,06:45,13:00,15:15,16:41,19:00
,25-Jan-23,06:45,13:00,15:15,16:43,19:00
,26-Jan-23,06:45,13:00,15:15,16:45,19:00
,27-Jan-23,06:45,13:10,15:15,16:47,19:00
,28-Jan-23,06:45,13:00,15:15,16:48,19:00
,29-Jan-23,06:45,13:00,15:15,16:50,19:00
,30-Jan-23,06:45,13:00,15:15,16:52,19:00
,31-Jan-23,06:45,13:00,15:15,16:54,19:00
