Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jul-23,04:10,13:30,19:45,21:27,22:55
,02-Jul-23,04:10,13:30,19:45,21:27,22:55
,03-Jul-23,04:10,13:30,19:45,21:26,22:55
,04-Jul-23,04:10,13:30,19:45,21:26,22:55
,05-Jul-23,04:10,13:30,19:45,21:25,22:55
,06-Jul-23,04:10,13:30,19:45,21:25,22:55
,07-Jul-23,04:10,13:30,19:45,21:24,22:55
,08-Jul-23,04:10,13:30,19:45,21:24,22:55
,09-Jul-23,04:10,13:30,19:45,21:23,22:55
,10-Jul-23,04:20,13:30,19:45,21:22,22:55
,11-Jul-23,04:20,13:30,19:45,21:21,22:55
,12-Jul-23,04:20,13:30,19:45,21:21,22:55
,13-Jul-23,04:20,13:30,19:45,21:20,22:45
,14-Jul-23,04:20,13:30,19:45,21:19,22:45
,15-Jul-23,04:20,13:30,19:45,21:18,22:45
,16-Jul-23,04:20,13:30,19:45,21:17,22:45
,17-Jul-23,04:20,13:30,19:45,21:18,22:45
,18-Jul-23,04:20,13:30,19:45,21:15,22:45
,19-Jul-23,04:30,13:30,19:45,21:14,22:45
,20-Jul-23,04:30,13:30,19:45,21:12,22:45
,21-Jul-23,04:30,13:30,19:45,21:11,22:45
,22-Jul-23,04:30,13:30,19:45,21:10,22:45
,23-Jul-23,04:30,13:30,19:45,21:09,22:45
,24-Jul-23,04:30,13:30,19:45,21:07,22:45
,25-Jul-23,04:30,13:30,19:45,21:06,22:45
,26-Jul-23,04:40,13:30,19:45,21:04,22:45
,27-Jul-23,04:40,13:30,19:45,21:03,22:30
,28-Jul-23,04:40,13:30,19:45,21:01,22:30
,29-Jul-23,04:40,13:30,19:45,21:00,22:30
,30-Jul-23,04:40,13:30,19:30,20:58,22:30
,31-Jul-23,04:40,13:30,19:30,20:57,22:30
