Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-23,06:06,13:00,16:15,17:49,19:30
,02-Mar-23,06:04,13:00,16:15,17:51,19:30
,03-Mar-23,06:02,13:00,16:15,17:52,19:30
,04-Mar-23,06:00,13:00,16:15,17:54,19:30
,05-Mar-23,05:57,13:00,16:30,17:56,19:45
,06-Mar-23,05:55,13:00,16:30,17:58,19:45
,07-Mar-23,05:53,13:00,16:30,17:59,19:45
,08-Mar-23,05:51,13:00,16:30,18:01,19:45
,09-Mar-23,05:48,13:00,16:30,18:03,19:45
,10-Mar-23,05:46,13:00,16:30,18:05,19:45
,11-Mar-23,05:44,13:00,16:30,18:06,19:45
,12-Mar-23,05:42,13:00,16:45,18:08,20:00
,13-Mar-23,05:39,13:00,16:45,18:10,20:00
,14-Mar-23,05:37,13:00,16:45,18:12,20:00
,15-Mar-23,05:35,13:00,16:45,18:13,20:00
,16-Mar-23,05:33,13:00,16:45,18:15,20:00
,17-Mar-23,05:30,13:00,16:45,18:17,20:00
,18-Mar-23,05:28,13:00,16:45,18:18,20:00
,19-Mar-23,05:26,13:00,16:45,18:20,20:00
,20-Mar-23,05:24,13:00,16:45,18:22,20:00
,21-Mar-23,05:21,13:00,16:45,18:23,20:00
,22-Mar-23,05:19,13:00,16:45,18:25,20:00
,23-Mar-23,05:17,13:00,16:45,18:27,20:00
,24-Mar-23,05:14,13:00,16:45,18:29,20:00
,25-Mar-23,05:12,13:00,16:45,18:30,20:00
,26-Mar-23,06:10,13:30,18:00,19:32,21:15
,27-Mar-23,06:08,13:30,18:00,19:34,21:15
,28-Mar-23,06:05,13:30,18:00,19:35,21:15
,29-Mar-23,06:03,13:30,18:00,19:37,21:15
,30-Mar-23,06:01,13:30,18:00,19:39,21:15
,31-Mar-23,05:58,13:30,18:00,19:40,21:15
