Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-23,05:45,13:00,16:30,17:47,19:45
,02-Mar-23,05:45,13:00,16:30,17:49,19:45
,03-Mar-23,05:45,13:00,16:30,17:50,19:45
,04-Mar-23,05:30,13:00,16:30,17:52,20:00
,05-Mar-23,05:30,13:00,16:30,17:54,20:00
,06-Mar-23,05:30,13:00,16:30,17:56,20:00
,07-Mar-23,05:30,13:00,16:30,17:57,20:00
,08-Mar-23,05:30,13:00,16:30,17:59,20:00
,09-Mar-23,05:30,13:00,16:30,18:01,20:00
,10-Mar-23,05:30,13:00,16:30,18:02,20:00
,11-Mar-23,05:15,13:00,16:45,18:04,20:00
,12-Mar-23,05:15,13:00,16:45,18:06,20:00
,13-Mar-23,05:15,13:00,16:45,18:08,20:00
,14-Mar-23,05:15,13:00,16:45,18:09,20:00
,15-Mar-23,05:15,13:00,16:45,18:11,20:00
,16-Mar-23,05:15,13:00,16:45,18:13,20:00
,17-Mar-23,05:15,13:00,16:45,18:14,20:00
,18-Mar-23,05:00,13:00,16:45,18:16,20:15
,19-Mar-23,05:00,13:00,16:45,18:18,20:15
,20-Mar-23,05:00,13:00,16:45,18:20,20:15
,21-Mar-23,05:00,13:00,16:45,18:21,20:15
,22-Mar-23,05:00,13:00,16:45,18:23,20:15
,23-Mar-23,04:36,13:00,16:45,18:34,20:15
,24-Mar-23,04:33,13:00,16:45,18:35,20:15
,25-Mar-23,04:31,13:00,16:45,18:37,20:15
,26-Mar-23,05:31,13:30,18:00,19:39,21:15
,27-Mar-23,05:28,13:30,18:00,19:40,21:15
,28-Mar-23,05:26,13:30,18:00,19:42,21:15
,29-Mar-23,05:23,13:30,18:00,19:44,21:15
,30-Mar-23,05:21,13:30,18:00,19:45,21:15
,31-Mar-23,05:18,13:30,18:00,19:47,21:15
