Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-23,06:00,13:15,16:30,17:49,19:30
,02-Mar-23,06:00,13:15,16:30,17:51,19:30
,03-Mar-23,06:00,13:15,16:30,17:53,19:30
,04-Mar-23,06:45,13:15,16:30,17:55,19:45
,05-Mar-23,05:45,13:15,16:30,17:56,19:45
,06-Mar-23,05:45,13:15,16:30,17:58,19:45
,07-Mar-23,05:45,13:15,16:30,18:00,19:45
,08-Mar-23,05:45,13:15,16:30,18:01,19;45
,09-Mar-23,05:45,13:15,16:30,18:03,19:45
,10-Mar-23,05:45,13:15,16:30,18:05,19:45
,11-Mar-23,05:30,13:15,16:45,18:07,20:00
,12-Mar-23,05:30,13:15,16:45,18:08,20:00
,13-Mar-23,05:30,13:15,16:45,18:10,20:00
,14-Mar-23,05:30,13:15,16:45,18:12,20:00
,15-Mar-23,05:30,13:15,16:45,18:14,20:00
,16-Mar-23,05:30,13:15,16:45,18:15,20:00
,17-Mar-23,05:30,13:15,16:45,18:17,20:00
,18-Mar-23,05:15,13:15,16:45,18:19,20:15
,19-Mar-23,05:15,13:15,16:45,18:20,20:15
,20-Mar-23,05:15,13:15,16:45,18:22,20:15
,21-Mar-23,05:15,13:15,16:45,18:24,20:15
,22-Mar-23,04:49,13:15,16:45,18:35,20:15
,23-Mar-23,04:47,13:15,16:45,18:37,20:15
,24-Mar-23,04:45,13:15,16:45,18:39,20:15
,25-Mar-23,04:42,13:15,16:45,18:40,20:15
,26-Mar-23,05:40,13:30,18:00,19:42,21:15
,27-Mar-23,05:38,13:30,18:00,19:44,21:15
,28-Mar-23,05:36,13:30,18:00,19:46,21:15
,29-Mar-23,05:33,13:30,18:00,19:47,21:15
,30-Mar-23,05:31,13:30,18:00,19:49,21:15
,31-Mar-23,05:29,13:30,18:00,19:51,21:15
