Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha,,,,,,
,01-Mar-23,05:30,13:15,16:30,17:46,19:45,,,,,,
,02-Mar-23,05:30,13:15,16:30,17:48,19:45,,,,,,
,03-Mar-23,05:30,13:00,16:30,17:50,19:45,,,,,,
,04-Mar-23,05:30,13:15,16:30,17:52,19:45,,,,,,
,05-Mar-23,05:30,13:15,16:30,17:53,19:45,,,,,,
,06-Mar-23,05:30,13:15,16:45,17:55,20:00,,,,,,
,07-Mar-23,05:30,13:15,16:45,17:57,20:00,,,,,,
,08-Mar-23,05:30,13:15,16:45,17:58,20:00,,,,,,
,09-Mar-23,05:15,13:15,16:45,18:00,20:00,,,,,,
,10-Mar-23,05:15,13:00,16:45,18:02,20:00,,,,,,
,11-Mar-23,05:15,13:15,16:45,18:04,20:00,,,,,,
,12-Mar-23,05:15,13:15,16:45,18:05,20:00,,,,,,
,13-Mar-23,05:15,13:15,16:45,18:07,20:00,,,,,,
,14-Mar-23,05:15,13:15,16:45,18:09,20:00,,,,,,
,15-Mar-23,05:15,13:15,16:45,18:11,20:00,,,,,,
,16-Mar-23,05:00,13:15,16:45,18:12,20:00,,,,,,
,17-Mar-23,05:00,13:00,16:45,18:14,20:00,,,,,,
,18-Mar-23,05:00,13:15,16:45,18:16,20:00,,,,,,
,19-Mar-23,05:00,13:15,16:45,18:17,20:00,,,,,,
,20-Mar-23,05:00,13:15,16:45,18:19,20:15,,,,,,
,21-Mar-23,05:00,13:15,16:45,18:21,20:15,,,,,,
,22-Mar-23,05:00,13:15,16:45,18:23,20:15,,,,,,
,23-Mar-23,04:34,13:15,16:45,18:36,20:15,,,,,,
,24-Mar-23,04:32,13:00,16:45,18:38,20:15,,,,,,
,25-Mar-23,04:30,13:15,16:45,18:40,20:15,,,,,,
,26-Mar-23,05:28,13:30,17:45,19:41,21:15,,,,,,
,27-Mar-23,05:26,13:30,17:45,19:43,21:15,08:00,08:00,08:00,08:00,08:00,08:00
,28-Mar-23,05:25,13:30,17:45,19:45,21:15,,,,,,
,29-Mar-23,05:23,13:30,17:45,19:46,21:15,,,,,,
,30-Mar-23,05:20,13:30,17:45,19:48,21:15,,,,,,
,31-Mar-23,05:19,13:00,18:00,19:50,21:15,,,,,,
