Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-23,06:00,13:15,16:30,17:50,19:30
,02-Mar-23,06:00,13:15,16:30,17:51,19:30
,03-Mar-23,05:45,13:15,16:45,17:53,19:45
,04-Mar-23,05:45,13:15,16:45,17:55,19:45
,05-Mar-23,05:45,13:15,16:45,17:57,19:45
,06-Mar-23,05:45,13:15,16:45,17:58,19:45
,07-Mar-23,05:45,13:15,16:45,18:00,19:45
,08-Mar-23,05:45,13:15,16:45,18:02,19:45
,09-Mar-23,05:45,13:15,16:45,18:04,19:45
,10-Mar-23,05:30,13:15,16:45,18:05,19:45
,11-Mar-23,05:30,13:15,16:45,18:07,19:45
,12-Mar-23,05:30,13:15,16:45,18:09,19:45
,13-Mar-23,05:30,13:15,16:45,18:10,19:45
,14-Mar-23,05:30,13:15,16:45,18:12,19:45
,15-Mar-23,05:30,13:15,16:45,18:14,19:45
,16-Mar-23,05:30,13:15,16:45,18:16,19:45
,17-Mar-23,05:15,13:15,16:45,18:17,20:00
,18-Mar-23,05:15,13:15,16:45,18:19,20:00
,19-Mar-23,05:15,13:15,16:45,18:21,20:00
,20-Mar-23,05:15,13:15,16:45,18:22,20:00
,21-Mar-23,05:15,13:15,16:45,18:24,20:00
,22-Mar-23,05:15,13:15,16:45,18:26,20:00
,23-Mar-23,04:38,13:15,16:45,18:37,20:00
,24-Mar-23,04:35,13:15,16:45,18:39,20:00
,25-Mar-23,04:33,13:15,16:45,18:41,20:00
,26-Mar-23,05:30,13:30,18:15,19:43,21:15
,27-Mar-23,05:28,13:30,18:15,19:44,21:15
,28-Mar-23,05:25,13:30,18:15,19:46,21:15
,29-Mar-23,05:23,13:30,18:15,19:48,21:15
,30-Mar-23,05:20,13:30,18:15,19:49,21:15
,31-Mar-23,05:17,13:30,18:30,19:51,21:15
