Day,DATE,Fajr Begin,Zuhr Begin,Asr 1st Mithl,Maghrib Begin,Isha Begin,Sunrise,Asr 2nd Mithl
,01-Dec-23,5:58,11:55,1:38,3:58,5:35,7:40,2:09
,02-Dec-23,6:00,11:55,1:37,3:58,5:35,7:42,2:09
,03-Dec-23,6:01,11:55,1:37,3:57,5:34,7:43,2:08
,04-Dec-23,6:03,11:56,1:36,3:57,5:34,7:45,2:08
,05-Dec-23,6:04,11:56,1:36,3:56,5:33,7:46,2:07
,06-Dec-23,6:05,11:57,1:36,3:56,5:33,7:47,2:07
,07-Dec-23,6:06,11:57,1:36,3:55,5:32,7:48,2:07
,08-Dec-23,6:07,11:57,1:36,3:55,5:32,7:49,2:06
,09-Dec-23,6:09,11:58,1:36,3:55,5:32,7:51,2:06
,10-Dec-23,6:10,11:58,1:36,3:55,5:32,7:52,2:06
,11-Dec-23,6:11,11:59,1:36,3:55,5:32,7:53,2:06
,12-Dec-23,6:12,11:59,1:36,3:55,5:32,7:54,2:06
,13-Dec-23,6:13,12:00,1:36,3:54,5:31,7:55,2:06
,14-Dec-23,6:14,12:00,1:36,3:55,5:32,7:56,2:06
,15-Dec-23,6:15,12:01,1:36,3:55,5:32,7:57,2:06
,16-Dec-23,6:16,12:01,1:36,3:55,5:32,7:57,2:06
,17-Dec-23,6:17,12:02,1:37,3:55,5:32,7:58,2:07
,18-Dec-23,6:18,12:02,1:37,3:55,5:32,7:59,2:07
,19-Dec-23,6:19,12:03,1:37,3:56,5:33,8:00,2:07
,20-Dec-23,6:20,12:03,1:38,3:56,5:33,8:00,2:08
,21-Dec-23,6:21,12:04,1:38,3:56,5:33,8:01,2:08
,22-Dec-23,6:21,12:04,1:39,3:57,5:34,8:01,2:08
,23-Dec-23,6:22,12:05,1:39,3:58,5:35,8:02,2:09
,24-Dec-23,6:22,12:05,1:40,3:58,5:35,8:02,2:10
,25-Dec-23,6:22,12:06,1:40,3:59,5:36,8:02,2:10
,26-Dec-23,6:25,12:06,1:41,3:59,5:36,8:03,2:11
,27-Dec-23,6:25,12:07,1:42,4:00,5:37,8:03,2:12
,28-Dec-23,6:25,12:07,1:43,4:01,5:38,8:03,2:13
,29-Dec-23,6:26,12:08,1:43,4:02,5:39,8:03,2:13
,30-Dec-23,6:26,12:08,1:44,4:03,5:40,8:03,2:14
,31-Dec-23,6:26,12:09,1:45,4:04,5:41,8:03,2:15
