Day,DATE,Fajr Begin,Zuhr Begin,Asr 1st Mithl,Maghrib Begin,Isha Begin,Sunrise,Asr 2nd Mithl
,01-Mar-23,5:07,12:18,3:04,5:43,7:09,6:44,3:48
,02-Mar-23,5:04,12:18,3:05,5:45,7:11,6:41,3:50
,03-Mar-23,5:02,12:18,3:07,5:47,7:12,6:39,3:51
,04-Mar-23,5:00,12:17,3:08,5:49,7:14,6:37,3:53
,05-Mar-23,4:58,12:17,3:09,5:50,7:14,6:35,3:54
,06-Mar-23,4:56,12:17,3:10,5:52,7:16,6:33,3:56
,07-Mar-23,4:53,12:17,3:11,5:54,7:17,6:30,3:57
,08-Mar-23,4:51,12:16,3:13,5:56,7:19,6:28,3:59
,09-Mar-23,4:49,12:16,3:14,5:57,7:19,6:26,4:00
,10-Mar-23,4:47,12:16,3:15,5:59,7:21,6:24,4:02
,11-Mar-23,4:45,12:16,3:16,6:01,7:23,6:22,4:03
,12-Mar-23,4:42,12:15,3:17,6:03,7:25,6:19,4:05
,13-Mar-23,4:40,12:15,3:18,6:04,7:25,6:17,4:06
,14-Mar-23,4:38,12:15,3:19,6:06,7:27,6:15,4:07
,15-Mar-23,4:36,12:15,3:21,6:08,7:29,6:13,4:09
,16-Mar-23,4:33,12:14,3:22,6:09,7:30,6:10,4:10
,17-Mar-23,4:31,12:14,3:23,6:11,7:31,6:08,4:12
,18-Mar-23,4:29,12:14,3:24,6:13,7:33,6:06,4:13
,19-Mar-23,4:26,12:13,3:25,6:14,7:34,6:03,4:14
,20-Mar-23,4:25,12:13,3:26,6:16,7:36,6:01,4:16
,21-Mar-23,4:23,12:13,3:27,6:18,7:37,5:59,4:17
,22-Mar-23,4:22,12:13,3:28,6:20,7:39,5:57,4:18
,23-Mar-23,4:19,12:12,3:29,6:21,7:40,5:54,4:20
,24-Mar-23,4:17,12:12,3:30,6:23,7:42,5:52,4:21
,25-Mar-23,4:15,12:12,3:31,6:25,7:43,5:50,4:22
,26-Mar-23,5:13,1:11,4:32,7:26,8:44,6:47,5:24
,27-Mar-23,5:11,1:11,4:33,7:28,8:46,6:45,5:25
,28-Mar-23,5:10,1:11,4:34,7:30,8:48,6:43,5:26
,29-Mar-23,5:08,1:10,4:35,7:31,8:48,6:41,5:27
,30-Mar-23,5:05,1:10,4:36,7:33,8:50,6:38,5:29
,31-Mar-23,5:04,1:10,4:36,7:35,8:52,6:36,5:30
