Day,DATE,Fajr Begin,Zuhr Begin,Asr 1st Mithl,Maghrib Begin,Isha Begin,Sunrise,Asr 2nd Mithl
,01-Nov-23,5:14,11:49,2:07,4:37,6:05,6:51,2:45
,02-Nov-23,5:15,11:49,2:05,4:35,6:03,6:52,2:44
,03-Nov-23,5:17,11:49,2:04,4:34,6:03,6:54,2:42
,04-Nov-23,5:18,11:49,2:03,4:32,6:01,6:56,2:40
,05-Nov-23,5:20,11:49,2:01,4:30,6:00,6:58,2:39
,06-Nov-23,5:21,11:49,2:00,4:28,5:58,6:59,2:37
,07-Nov-23,5:22,11:49,1:59,4:27,5:58,7:01,2:36
,08-Nov-23,5:24,11:49,1:57,4:25,5:56,7:03,2:34
,09-Nov-23,5:26,11:49,1:56,4:24,5:56,7:05,2:33
,10-Nov-23,5:26,11:50,1:55,4:22,5:54,7:06,2:31
,11-Nov-23,5:28,11:50,1:54,4:20,5:52,7:08,2:30
,12-Nov-23,5:30,11:50,1:53,4:19,5:51,7:10,2:28
,13-Nov-23,5:31,11:50,1:52,4:18,5:51,7:12,2:27
,14-Nov-23,5:32,11:50,1:50,4:16,5:49,7:13,2:26
,15-Nov-23,5:34,11:50,1:49,4:15,5:48,7:15,2:24
,16-Nov-23,5:35,11:50,1:48,4:13,5:46,7:17,2:23
,17-Nov-23,5:36,11:51,1:47,4:12,5:46,7:18,2:22
,18-Nov-23,5:38,11:51,1:46,4:11,5:45,7:20,2:21
,19-Nov-23,5:40,11:51,1:46,4:10,5:44,7:22,2:20
,20-Nov-23,5:42,11:51,1:45,4:08,5:42,7:24,2:18
,21-Nov-23,5:43,11:51,1:44,4:07,5:42,7:25,2:17
,22-Nov-23,5:45,11:52,1:43,4:06,5:41,7:27,2:16
,23-Nov-23,5:46,11:52,1:42,4:05,5:40,7:28,2:15
,24-Nov-23,5:48,11:52,1:42,4:04,5:39,7:30,2:14
,25-Nov-23,5:50,11:53,1:41,4:03,5:39,7:32,2:14
,26-Nov-23,5:51,11:53,1:40,4:02,5:38,7:33,2:13
,27-Nov-23,5:53,11:53,1:39,4:01,5:37,7:35,2:12
,28-Nov-23,5:54,11:54,1:39,4:00,5:36,7:36,2:11
,29-Nov-23,5:56,11:54,1:39,4:00,5:36,7:38,2:10
,30-Nov-23,5:57,11:54,1:38,3:59,5:36,7:39,2:10
