Day,DATE,Fajr Begin,Zuhr Begin,Asr 1st Mithl,Maghrib Begin,Isha Begin,Sunrise,Asr 2nd Mithl
,01-Oct-23,5:30,12:55,3:57,6:42,8:00,6:58,4:44
,02-Oct-23,5:31,12:55,3:55,6:40,7:58,6:59,4:42
,03-Oct-23,5:33,12:55,3:53,6:38,7:57,7:01,4:40
,04-Oct-23,5:35,12:54,3:52,6:35,7:54,7:03,4:38
,05-Oct-23,5:35,12:54,3:50,6:33,7:52,7:04,4:36
,06-Oct-23,5:37,12:54,3:48,6:31,7:50,7:06,4:34
,07-Oct-23,5:39,12:54,3:47,6:29,7:50,7:08,4:32
,08-Oct-23,5:39,12:53,3:45,6:26,7:47,7:09,4:30
,09-Oct-23,5:41,12:53,3:43,6:24,7:45,7:11,4:28
,10-Oct-23,5:43,12:53,3:42,6:22,7:43,7:13,4:26
,11-Oct-23,5:43,12:52,3:40,6:20,7:41,7:14,4:24
,12-Oct-23,5:45,12:52,3:38,6:18,7:39,7:16,4:22
,13-Oct-23,5:47,12:52,3:37,6:15,7:38,7:18,4:20
,14-Oct-23,5:47,12:52,3:35,6:13,7:36,7:19,4:19
,15-Oct-23,5:49,12:51,3:33,6:11,7:34,7:21,4:17
,16-Oct-23,5:51,12:51,3:32,6:09,7:32,7:23,4:15
,17-Oct-23,5:51,12:51,3:30,6:07,7:30,7:24,4:13
,18-Oct-23,5:53,12:51,3:28,6:05,7:28,7:26,4:11
,19-Oct-23,5:55,12:51,3:27,6:03,7:26,7:28,4:09
,20-Oct-23,5:57,12:50,3:25,6:01,7:24,7:30,4:07
,21-Oct-23,5:57,12:50,3:24,5:59,7:24,7:31,4:05
,22-Oct-23,5:59,12:50,3:22,5:56,7:21,7:33,4:03
,23-Oct-23,6:00,12:50,3:20,5:54,7:19,7:35,4:01
,24-Oct-23,6:02,12:50,3:19,5:52,7:17,7:37,3:59
,25-Oct-23,6:03,12:50,3:17,5:50,7:17,7:38,3:58
,26-Oct-23,6:04,12:50,3:16,5:49,7:16,7:40,3:56
,27-Oct-23,6:06,12:50,3:14,5:47,7:14,7:42,3:54
,28-Oct-23,6:08,12:49,3:13,5:45,7:12,7:44,3:52
,29-Oct-23,5:08,11:49,2:11,4:43,6:10,6:45,2:50
,30-Oct-23,5:10,11:49,2:10,4:41,6:08,6:47,2:49
,31-Oct-23,5:12,11:49,2:08,4:39,6:06,6:49,2:47
