Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-23,05:45,13:15,16:30,17:49,19:45
,02-Mar-23,05:45,13:15,16:30,17:51,19:45
,03-Mar-23,05:45,13:00,16:30,17:52,19:45
,04-Mar-23,05:45,13:15,16:30,17:54,19:45
,05-Mar-23,05:45,13:15,16:30,17:56,19:45
,06-Mar-23,05:30,13:15,16:45,17:58,19:45
,07-Mar-23,05:30,13:15,16:45,17:59,19:45
,08-Mar-23,05:30,13:15,16:45,18:01,19:45
,09-Mar-23,05:30,13:15,16:45,18:03,19:45
,10-Mar-23,05:30,13:00,16:45,18:05,19:45
,11-Mar-23,05:30,13:15,16:45,18:06,19:45
,12-Mar-23,05:30,13:15,16:45,18:08,19:45
,13-Mar-23,05:15,13:15,16:45,18:10,20:00
,14-Mar-23,05:15,13:15,16:45,18:11,20:00
,15-Mar-23,05:15,13:15,16:45,18:13,20:00
,16-Mar-23,05:15,13:15,16:45,18:15,20:00
,17-Mar-23,05:15,13:00,16:45,18:17,20:00
,18-Mar-23,05:15,13:15,16:45,18:18,20:00
,19-Mar-23,05:15,13:15,16:45,18:20,20:00
,20-Mar-23,05:00,13:15,16:45,18:22,20:00
,21-Mar-23,05:00,13:15,16:45,18:23,20:00
,22-Mar-23,05:00,13:15,16:45,18:25,20:00
,23-Mar-23,05:00,13:15,16:45,18:27,20:00
,24-Mar-23,05:00,13:15,16:45,18:28,20:00
,25-Mar-23,05:00,13:00,16:45,18:30,20:00
,26-Mar-23,05:45,13:30,18:00,19:33,21:15
,27-Mar-23,05:45,13:30,18:00,19:33,21:15
,28-Mar-23,05:45,13:30,18:00,19:35,21:15
,29-Mar-23,05:45,13:30,18:00,19:37,21:15
,30-Mar-23,05:45,13:30,18:00,19:38,21:15
,31-Mar-23,05:45,13:30,18:00,19:40,21:15
