Day,DATE,FAJR,zohar,ASR,MAGHRIB,Esha
,01-Feb-23,07:00,13:15,15:45,16:58,19:45
,02-Feb-23,07:00,13:15,15:45,16:59,19:45
,03-Feb-23,07:00,13:15,15:45,17:01,19:45
,04-Feb-23,06:45,13:15,16:00,17:03,19:45
,05-Feb-23,06:45,13:15,16:00,17:05,19:45
,06-Feb-23,06:45,13:15,16:00,17:07,19:45
,07-Feb-23,06:45,13:15,16:00,17:09,19:45
,08-Feb-23,06:45,13:15,16:00,17:10,19:45
,09-Feb-23,06:45,13:15,16:00,17:12,19:45
,10-Feb-23,06:45,13:15,16:00,17:14,19:45
,11-Feb-23,06:30,13:15,16:00,17:16,19:45
,12-Feb-23,06:30,13:15,16:00,17:18,19:45
,13-Feb-23,06:30,13:15,16:00,17:19,19:45
,14-Feb-23,06:30,13:15,16:00,17:21,19:45
,15-Feb-23,06:30,13:15,16:00,17:23,19:45
,16-Feb-23,06:30,13:15,16:00,17:25,19:45
,17-Feb-23,06:30,13:15,16:00,17:27,19:45
,18-Feb-23,06:15,13:15,16:15,17:29,19:45
,19-Feb-23,06:15,13:15,16:15,17:30,19:45
,20-Feb-23,06:15,13:15,16:15,17:32,19:45
,21-Feb-23,06:15,13:15,16:15,17:34,19:45
,22-Feb-23,06:15,13:15,16:15,17:36,19:45
,23-Feb-23,06:15,13:15,16:15,17:38,19:45
,24-Feb-23,06:15,13:15,16:15,17:39,19:45
,25-Feb-23,06:00,13:15,16:30,17:41,19:45
,26-Feb-23,06:00,13:15,16:30,17:43,19:45
,27-Feb-23,06:00,13:15,16:30,17:45,19:45
,28-Feb-23,06:00,13:15,16:30,17:47,19:45
