Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-23,06:15,13:30,17:30,18:47,20:15
,02-Oct-23,06:15,13:30,17:30,18:45,20:15
,03-Oct-23,06:15,13:30,17:30,18:43,20:15
,04-Oct-23,06:15,13:30,17:30,18:40,20:15
,05-Oct-23,06:15,13:30,17:30,18:38,20:15
,06-Oct-23,06:15,13:30,17:30,18:36,20:15
,07-Oct-23,06:30,13:30,17:00,18:34,20:00
,08-Oct-23,06:30,13:30,17:00,18:31,20:00
,09-Oct-23,06:30,13:30,17:00,18:29,20:00
,10-Oct-23,06:30,13:30,17:00,18:27,20:00
,11-Oct-23,06:30,13:30,17:00,18:25,20:00
,12-Oct-23,06:30,13:30,17:00,18:23,20:00
,13-Oct-23,06:30,13:30,17:00,18:20,20:00
,14-Oct-23,06:45,13:30,16:45,18:18,20:00
,15-Oct-23,06:45,13:30,16:45,18:16,20:00
,16-Oct-23,06:45,13:30,16:45,18:14,20:00
,17-Oct-23,06:45,13:30,16:45,18:12,20:00
,18-Oct-23,06:45,13:30,16:45,18:10,20:00
,19-Oct-23,06:45,13:30,16:45,18:08,20:00
,20-Oct-23,06:45,13:30,16:45,18:06,20:00
,21-Oct-23,07:00,13:30,16:30,18:04,20:00
,22-Oct-23,07:00,13:30,16:30,18:01,20:00
,23-Oct-23,07:00,13:30,16:30,17:59,20:00
,24-Oct-23,07:00,13:30,16:30,17:57,20:00
,25-Oct-23,07:00,13:30,16:30,17:55,20:00
,26-Oct-23,07:00,13:30,16:30,17:54,20:00
,27-Oct-23,07:00,13:30,16:30,17:52,20:00
,28-Oct-23,07:00,13:30,16:30,17:50,20:00
,29-Oct-23,06:00,13:00,15:15,16:48,19:45
,30-Oct-23,06:00,13:00,15:15,16:46,19:45
,31-Oct-23,06:00,13:00,15:15,16:44,19:45
