Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-22,06:15,13:30,17:00,18:48,20:15
,02-Oct-22,06:15,13:30,17:00,18:46,20:15
,03-Oct-22,06:15,13:30,17:00,18:43,20:15
,04-Oct-22,06:15,13:30,17:00,18:41,20:15
,05-Oct-22,06:15,13:30,17:00,18:39,20:15
,06-Oct-22,06:15,13:30,17:00,18:37,20:15
,07-Oct-22,06:15,13:30,17:00,18:34,20:15
,08-Oct-22,06:15,13:30,16:45,18:32,20:15
,09-Oct-22,06:15,13:30,16:45,18:30,20:15
,10-Oct-22,06:15,13:30,16:45,18:28,20:15
,11-Oct-22,06:15,13:30,16:45,18:26,20:15
,12-Oct-22,06:15,13:30,16:45,18:23,20:15
,13-Oct-22,06:15,13:30,16:45,18:21,20:15
,14-Oct-22,06:15,13:30,16:45,18:19,20:15
,15-Oct-22,06:30,13:30,16:45,18:17,20:00
,16-Oct-22,06:30,13:30,16:45,18:15,20:00
,17-Oct-22,06:30,13:30,16:45,18:13,20:00
,18-Oct-22,06:30,13:30,16:45,18:11,20:00
,19-Oct-22,06:30,13:30,16:45,18:09,20:00
,20-Oct-22,06:30,13:30,16:45,18:06,20:00
,21-Oct-22,06:30,13:30,16:45,18:04,20:00
,22-Oct-22,06:30,13:30,16:30,18:02,19:45
,23-Oct-22,06:30,13:30,16:30,18:00,19:45
,24-Oct-22,06:30,13:30,16:30,17:58,19:45
,25-Oct-22,06:30,13:30,16:30,17:56,19:45
,26-Oct-22,06:30,13:30,16:30,17:54,19:45
,27-Oct-22,06:30,13:30,16:30,17:52,19:45
,28-Oct-22,06:30,13:30,16:30,17:51,19:45
,29-Oct-22,06:30,13:30,16:30,17:49,19:45
,30-Oct-22,05:45,13:00,15:15,16:47,19:15
,31-Oct-22,05:45,13:00,15:15,16:45,19:15
,,,,,,
