Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Dec-20,06:30,12:30,14:00,16:05,19:00
,02-Dec-20,06:30,12:30,14:00,16:04,19:00
,03-Dec-20,06:30,12:30,14:00,16:04,19:00
,04-Dec-20,06:30,12:30,14:00,16:03,19:00
,05-Dec-20,06:30,12:30,14:00,16:03,19:00
,06-Dec-20,06:30,12:30,14:00,16:02,19:00
,07-Dec-20,06:30,12:30,14:00,16:02,19:00
,08-Dec-20,06:30,12:30,14:00,16:02,19:00
,09-Dec-20,06:30,12:30,14:00,16:02,19:00
,10-Dec-20,06:30,12:30,14:00,16:01,19:00
,11-Dec-20,06:30,12:30,14:00,16:01,19:00
,12-Dec-20,06:30,12:30,14:00,16:01,19:00
,13-Dec-20,06:30,12:30,14:00,16:01,19:00
,14-Dec-20,06:30,12:30,14:00,16:01,19:00
,15-Dec-20,06:45,12:30,14:00,16:02,19:00
,16-Dec-20,06:45,12:30,14:00,16:02,19:00
,17-Dec-20,06:45,12:30,14:00,16:02,19:00
,18-Dec-20,06:45,12:30,14:00,16:02,19:00
,19-Dec-20,06:45,12:30,14:00,16:03,19:00
,20-Dec-20,06:45,12:30,14:00,16:03,19:00
,21-Dec-20,06:45,12:30,14:00,16:04,19:00
,22-Dec-20,06:45,12:30,14:00,16:04,19:00
,23-Dec-20,06:45,12:30,14:00,16:05,19:00
,24-Dec-20,06:45,12:30,14:00,16:05,19:00
,25-Dec-20,06:45,12:30,14:00,16:06,19:00
,26-Dec-20,06:45,12:30,14:00,16:07,19:00
,27-Dec-20,06:45,12:30,14:00,16:08,19:00
,28-Dec-20,06:45,12:30,14:00,16:09,19:00
,29-Dec-20,06:45,12:30,14:00,16:09,19:00
,30-Dec-20,06:45,12:30,14:00,16:10,19:00
,31-Dec-20,06:45,12:30,14:00,16:11,19:00
