Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA,,
,01-Jan-20,06:45,12:45,14:15,16:12,19:30,,
,02-Jan-20,06:45,12:45,14:15,16:13,19:30,,
,03-Jan-20,06:45,13:00,14:15,16:14,19:30,,
,04-Jan-20,06:45,12:45,14:15,16:15,19:30,,
,05-Jan-20,06:45,12:45,14:15,16:16,19:30,,
,06-Jan-20,06:45,12:45,14:15,16:17,19:30,,
,07-Jan-20,06:45,12:45,14:15,16:19,19:30,,
,08-Jan-20,06:45,12:45,14:15,16:20,19:30,,
,09-Jan-20,06:45,12:45,14:15,16:21,19:30,,
,10-Jan-20,06:45,13:00,14:15,16:23,19:30,,
,11-Jan-20,06:45,12:45,14:15,16:24,19:30,,
,12-Jan-20,06:45,12:45,14:15,16:26,19:30,,
,13-Jan-20,06:45,12:45,14:30,16:27,19:30,,
,14-Jan-20,06:45,12:45,14:30,16:28,19:30,,
,15-Jan-20,06:45,12:45,14:30,16:30,19:30,,
,16-Jan-20,06:45,12:45,14:30,16:32,19:30,,
,17-Jan-20,06:45,13:00,14:30,16:33,19:30,,
,18-Jan-20,06:45,12:45,14:30,16:35,19:30,,
,19-Jan-20,06:45,12:45,14:30,16:36,19:30,,
,20-Jan-20,06:45,12:45,14:30,16:38,19:30,,
,21-Jan-20,06:30,12:45,14:30,16:40,19:30,,
,22-Jan-20,06:30,12:45,14:30,16:41,19:30,,
,23-Jan-20,06:30,12:45,14:30,16:43,19:30,,
,24-Jan-20,06:30,13:00,14:30,16:45,19:30,,
,25-Jan-20,06:30,12:45,14:45,16:47,19:30,,
,26-Jan-20,06:30,12:45,14:45,16:48,19:30,,
,27-Jan-20,06:30,12:45,14:45,16:50,19:30,,
,28-Jan-20,06:30,12:45,14:45,16:52,19:30,,
,29-Jan-20,06:30,12:45,14:45,16:54,19:30,,
,30-Jan-20,06:30,12:45,14:45,16:55,19:30,,
,31-Jan-20,06:30,13:00,14:45,16:57,19:30,,
