Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jul-20,03:20,13:30,17:45,21:31,22:50
,02-Jul-20,03:20,13:30,17:45,21:30,22:50
,03-Jul-20,03:20,13:45,17:45,21:30,22:50
,04-Jul-20,03:20,13:30,17:45,21:29,22:50
,05-Jul-20,03:20,13:30,17:45,21:29,22:50
,06-Jul-20,03:20,13:30,17:45,21:28,22:45
,07-Jul-20,03:30,13:30,17:45,21:28,22:45
,08-Jul-20,03:30,13:30,17:45,21:27,22:45
,09-Jul-20,03:30,13:30,17:45,21:26,22:45
,10-Jul-20,03:30,13:45,17:45,21:25,22:45
,11-Jul-20,03:30,13:30,17:45,21:25,22:45
,12-Jul-20,03:30,13:30,17:45,21:24,22:45
,13-Jul-20,03:30,13:30,17:45,21:23,22:45
,14-Jul-20,03:30,13:30,17:45,21:22,22:45
,15-Jul-20,03:45,13:30,17:45,21:21,22:45
,16-Jul-20,03:45,13:30,17:45,21:20,22:45
,17-Jul-20,03:45,13:45,17:45,21:19,22:45
,18-Jul-20,03:45,13:30,17:45,21:18,22:45
,19-Jul-20,03:45,13:30,17:45,21:16,22:45
,20-Jul-20,03:45,13:30,17:45,21:15,22:30
,21-Jul-20,03:45,13:30,17:45,21:14,22:30
,22-Jul-20,03:45,13:30,17:45,21:13,22:30
,23-Jul-20,04:00,13:30,17:45,21:11,22:30
,24-Jul-20,04:00,13:45,17:45,21:10,22:30
,25-Jul-20,04:00,13:30,17:45,21:09,22:30
,26-Jul-20,04:00,13:30,17:45,21:07,22:30
,27-Jul-20,04:00,13:30,17:45,21:06,22:30
,28-Jul-20,04:00,13:30,17:45,21:04,22:30
,29-Jul-20,04:00,13:30,17:45,21:03,22:30
,30-Jul-20,04:00,13:30,17:45,21:01,22:30
,31-Jul-20,04:00,13:45,17:45,20:59,22:30
