Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-May-20,04:15,13:45,17:30,20:58,22:15
,02-May-20,04:15,13:30,17:30,20:59,22:15
,03-May-20,04:15,13:30,17:30,21:01,22:15
,04-May-20,04:15,13:30,17:30,21:02,22:30
,05-May-20,04:15,13:30,17:30,21:04,22:30
,06-May-20,04:15,13:30,17:30,21:06,22:30
,07-May-20,04:15,13:30,17:30,21:07,22:30
,08-May-20,04:00,13:45,17:30,21:09,22:30
,09-May-20,04:00,13:30,17:30,21:10,22:30
,10-May-20,04:00,13:30,17:30,21:12,22:30
,11-May-20,04:00,13:30,17:30,21:13,22:30
,12-May-20,04:00,13:30,17:30,21:15,22:30
,13-May-20,04:00,13:30,17:30,21:17,22:30
,14-May-20,04:00,13:30,17:30,21:18,22:30
,15-May-20,03:45,13:45,17:30,21:20,22:45
,16-May-20,03:45,13:30,17:30,21:21,22:45
,17-May-20,03:45,13:30,17:30,21:23,22:45
,18-May-20,03:45,13:30,17:30,21:24,22:45
,19-May-20,03:45,13:30,17:30,21:25,22:45
,20-May-20,03:45,13:30,17:30,21:27,22:45
,21-May-20,03:45,13:30,17:30,21:28,22:45
,22-May-20,03:45,13:45,17:30,21:30,22:45
,23-May-20,03:45,13:30,17:30,21:31,22:45
,24-May-20,03:30,13:30,17:30,21:09,22:45
,25-May-20,03:30,13:30,17:45,21:11,22:45
,26-May-20,03:30,13:30,17:45,21:12,22:45
,27-May-20,03:30,13:30,17:45,21:13,22:45
,28-May-20,03:30,13:30,17:45,21:14,22:45
,29-May-20,03:30,13:45,17:45,21:15,22:45
,30-May-20,03:30,13:30,17:45,21:17,22:45
,31-May-20,03:30,13:30,17:45,21:18,22:45
