Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Sep-20,05:00,13:30,17:15,19:56,21:15
,02-Sep-20,05:00,13:30,17:15,19:54,21:15
,03-Sep-20,05:00,13:30,17:15,19:51,21:15
,04-Sep-20,05:00,13:45,17:15,19:49,21:15
,05-Sep-20,05:00,13:30,17:15,19:47,21:15
,06-Sep-20,05:15,13:30,17:15,19:45,21:15
,07-Sep-20,05:15,13:30,17:15,19:42,21:15
,08-Sep-20,05:15,13:30,17:15,19:40,21:15
,09-Sep-20,05:15,13:30,17:15,19:38,21:15
,10-Sep-20,05:15,13:30,17:15,19:36,21:15
,11-Sep-20,05:15,13:45,17:15,19:33,21:15
,12-Sep-20,05:15,13:30,17:15,19:31,21:15
,13-Sep-20,05:15,13:30,17:15,19:29,21:15
,14-Sep-20,05:15,13:30,16:45,19:26,21:15
,15-Sep-20,05:15,13:30,16:45,19:24,21:15
,16-Sep-20,05:15,13:30,16:45,19:22,21:00
,17-Sep-20,05:30,13:30,16:45,19:19,21:00
,18-Sep-20,05:30,13:45,16:45,19:17,21:00
,19-Sep-20,05:30,13:30,16:45,19:15,21:00
,20-Sep-20,05:30,13:30,16:45,19:13,21:00
,21-Sep-20,05:30,13:30,16:30,19:10,20:45
,22-Sep-20,05:30,13:30,16:30,19:08,20:45
,23-Sep-20,05:30,13:30,16:30,19:06,20:45
,24-Sep-20,05:45,13:30,16:30,19:03,20:45
,25-Sep-20,05:45,13:45,16:30,19:01,20:45
,26-Sep-20,05:45,13:30,16:30,18:59,20:45
,27-Sep-20,05:45,13:30,16:30,18:56,20:45
,28-Sep-20,05:45,13:30,16:30,18:54,20:45
,29-Sep-20,05:45,13:30,16:30,18:52,20:45
,30-Sep-20,05:45,13:30,16:30,18:50,20:45
