Day,DATE,FAJR,zohar,ASR,MAGHRIB,Esha
,01-Feb-22,06:45,13:15,15:30,17:00,19:30
,02-Feb-22,06:45,13:15,15:30,17:02,19:30
,03-Feb-22,06:45,13:15,15:30,17:04,19:30
,04-Feb-22,06:45,13:15,15:30,17:05,19:30
,05-Feb-22,06:45,13:15,15:30,17:07,19:30
,06-Feb-22,06:45,13:15,15:30,17:09,19:30
,07-Feb-22,06:45,13:15,15:30,17:11,19:30
,08-Feb-22,06:30,13:15,15:30,17:13,19:30
,09-Feb-22,06:30,13:15,15:45,17:15,19:30
,10-Feb-22,06:30,13:15,15:45,17:16,19:30
,11-Feb-22,06:30,13:15,15:45,17:18,19:30
,12-Feb-22,06:30,13:15,15:45,17:20,19:30
,13-Feb-22,06:30,13:15,15:45,17:22,19:30
,14-Feb-22,06:30,13:15,15:45,17:24,19:30
,15-Feb-22,06:15,13:15,15:45,17:26,19:30
,16-Feb-22,06:15,13:15,15:45,17:27,19:30
,17-Feb-22,06:15,13:15,15:45,17:29,19:30
,18-Feb-22,06:15,13:15,16:00,17:31,19:30
,19-Feb-22,06:15,13:15,16:00,17:33,19:30
,20-Feb-22,06:15,13:15,16:00,17:35,19:30
,21-Feb-22,06:15,13:15,16:00,17:36,19:30
,22-Feb-22,06:00,13:15,16:00,17:38,19:30
,23-Feb-22,06:00,13:15,16:00,17:40,19:30
,24-Feb-22,06:00,13:15,16:00,17:42,19:30
,25-Feb-22,06:00,13:15,16:00,17:44,19:30
,26-Feb-22,06:00,13:15,16:00,17:45,19:30
,27-Feb-22,06:00,13:15,16:00,17:47,19:30
,28-Feb-22,06:00,13:15,16:00,17:49,19:30
