Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Dec-22,06:19,12:45,14:30,16:05,19:30
,02-Dec-22,06:20,13:00,14:30,16:05,19:30
,03-Dec-22,06:22,12:45,14:30,16:04,19:30
,04-Dec-22,06:23,12:45,14:30,16:04,19:30
,05-Dec-22,06:24,12:45,14:30,16:03,19:30
,06-Dec-22,06:25,12:45,14:30,16:03,19:30
,07-Dec-22,06:27,12:45,14:30,16:02,19:30
,08-Dec-22,06:28,12:45,14:30,16:02,19:30
,09-Dec-22,06:29,13:00,14:30,16:02,19:30
,10-Dec-22,06:30,12:45,14:30,16:02,19:30
,11-Dec-22,06:31,12:45,14:30,16:02,19:30
,12-Dec-22,06:32,12:45,14:30,16:01,19:30
,13-Dec-22,06:33,12:45,14:30,16:01,19:30
,14-Dec-22,06:34,12:45,14:30,16:02,19:30
,15-Dec-22,06:35,12:45,14:30,16:02,19:30
,16-Dec-22,06:37,13:00,14:30,16:02,19:30
,17-Dec-22,06:37,12:45,14:30,16:02,19:30
,18-Dec-22,06:38,12:45,14:30,16:02,19:30
,19-Dec-22,06:39,12:45,14:30,16:03,19:30
,20-Dec-22,06:40,12:45,14:30,16:03,19:30
,21-Dec-22,06:41,12:45,14:30,16:04,19:30
,22-Dec-22,06:41,12:45,14:30,16:04,19:30
,23-Dec-22,06:42,13:00,14:30,16:05,19:30
,24-Dec-22,06:42,12:45,14:30,16:05,19:30
,25-Dec-22,06:42,12:45,14:30,16:06,19:30
,26-Dec-22,06:45,12:45,14:30,16:07,19:30
,27-Dec-22,06:45,12:45,14:30,16:07,19:30
,28-Dec-22,06:45,12:45,14:30,16:08,19:30
,29-Dec-22,06:46,12:45,14:30,16:09,19:30
,30-Dec-22,06:46,13:00,14:30,16:10,19:30
,31-Dec-22,06:46,12:45,14:30,16:11,19:30
