Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jul-23,03:09,13:30,19:00,21:31,22:45
,02-Jul-23,03:10,13:30,19:00,21:31,22:45
,03-Jul-23,03:11,13:30,19:00,21:30,22:45
,04-Jul-23,03:13,13:30,19:00,21:30,22:45
,05-Jul-23,03:14,13:30,19:00,21:29,22:45
,06-Jul-23,03:14,13:30,19:00,21:29,22:45
,07-Jul-23,03:16,13:45,19:00,21:28,22:45
,08-Jul-23,03:17,13:30,19:00,21:28,22:45
,09-Jul-23,03:19,13:30,19:00,21:27,22:40
,10-Jul-23,03:20,13:30,19:00,21:26,22:40
,11-Jul-23,03:21,13:30,19:00,21:25,22:40
,12-Jul-23,03:23,13:30,19:00,21:25,22:40
,13-Jul-23,03:24,13:30,19:00,21:24,22:40
,14-Jul-23,03:27,13:45,19:00,21:23,22:40
,15-Jul-23,03:28,13:30,19:00,21:22,22:40
,16-Jul-23,03:29,13:30,19:00,21:21,22:40
,17-Jul-23,03:31,13:30,19:00,21:20,22:30
,18-Jul-23,03:32,13:30,19:00,21:19,22:30
,19-Jul-23,03:35,13:30,19:00,21:18,22:30
,20-Jul-23,03:36,13:30,19:00,21:16,22:30
,21-Jul-23,03:37,13:45,19:00,21:15,22:30
,22-Jul-23,03:40,13:30,19:00,21:14,22:30
,23-Jul-23,03:41,13:30,19:00,21:13,22:30
,24-Jul-23,03:43,13:30,19:00,21:11,22:30
,25-Jul-23,03:45,13:30,19:00,21:10,22:30
,26-Jul-23,03:47,13:30,18:45,21:08,22:15
,27-Jul-23,03:49,13:30,18:45,21:07,22:15
,28-Jul-23,03:51,13:45,18:45,21:05,22:15
,29-Jul-23,03:52,13:30,18:45,21:04,22:15
,30-Jul-23,03:55,13:30,18:45,21:02,22:15
,31-Jul-23,03:56,13:30,18:45,21:01,22:15
