Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-22,05:26,12:45,16:15,17:51,19:30
,02-Mar-22,05:24,12:45,16:15,17:53,19:30
,03-Mar-22,05:22,12:45,16:15,17:54,19:30
,04-Mar-22,05:20,13:00,16:15,17:56,19:30
,05-Mar-22,05:17,12:45,16:15,17:58,19:30
,06-Mar-22,05:15,12:45,16:15,18:00,19:30
,07-Mar-22,05:13,12:45,16:15,18:01,19:30
,08-Mar-22,05:11,12:45,16:15,18:03,19:30
,09-Mar-22,05:08,12:45,16:30,18:05,19:45
,10-Mar-22,05:06,12:45,16:30,18:07,19:45
,11-Mar-22,05:04,13:00,16:30,18:08,19:45
,12-Mar-22,05:02,12:45,16:30,18:10,19:45
,13-Mar-22,05:00,12:45,16:30,18:12,19:45
,14-Mar-22,04:57,12:45,16:30,18:13,19:45
,15-Mar-22,04:55,12:45,16:30,18:15,19:45
,16-Mar-22,04:53,12:45,16:30,18:17,19:45
,17-Mar-22,04:50,12:45,16:30,18:19,19:45
,18-Mar-22,04:48,13:00,16:45,18:20,20:00
,19-Mar-22,04:46,12:45,16:45,18:22,20:00
,20-Mar-22,04:45,12:45,16:45,18:24,20:00
,21-Mar-22,04:42,12:45,16:45,18:25,20:00
,22-Mar-22,04:41,12:45,16:45,18:27,20:00
,23-Mar-22,04:39,12:45,16:45,18:29,20:00
,24-Mar-22,04:36,12:45,16:45,18:30,20:00
,25-Mar-22,04:34,13:00,16:45,18:32,20:00
,26-Mar-22,04:33,12:45,16:45,18:34,20:00
,27-Mar-22,05:31,13:30,17:45,19:35,21:15
,28-Mar-22,05:29,13:30,17:45,19:37,21:15
,29-Mar-22,05:27,13:30,17:45,19:39,21:15
,30-Mar-22,05:25,13:30,17:45,19:40,21:15
,31-Mar-22,05:24,13:30,17:45,19:42,21:15
