Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Sep-22,04:58,13:30,18:00,19:57,21:15
,02-Sep-22,05:00,13:45,18:00,19:55,21:15
,03-Sep-22,05:01,13:30,18:00,19:53,21:15
,04-Sep-22,05:03,13:30,18:00,19:50,21:15
,05-Sep-22,05:04,13:30,18:00,19:48,21:15
,06-Sep-22,05:06,13:30,18:00,19:46,21:15
,07-Sep-22,05:08,13:30,18:00,19:44,21:15
,08-Sep-22,05:09,13:30,18:00,19:41,21:15
,09-Sep-22,05:11,13:45,17:45,19:39,21:00
,10-Sep-22,05:12,13:30,17:45,19:37,21:00
,11-Sep-22,05:14,13:30,17:45,19:35,21:00
,12-Sep-22,05:16,13:30,17:45,19:32,21:00
,13-Sep-22,05:17,13:30,17:45,19:30,21:00
,14-Sep-22,05:19,13:30,17:45,19:28,21:00
,15-Sep-22,05:20,13:30,17:45,19:25,21:00
,16-Sep-22,05:23,13:45,17:30,19:23,20:45
,17-Sep-22,05:25,13:30,17:30,19:21,20:45
,18-Sep-22,05:26,13:30,17:30,19:18,20:45
,19-Sep-22,05:29,13:30,17:30,19:16,20:45
,20-Sep-22,05:30,13:30,17:30,19:14,20:45
,21-Sep-22,05:32,13:30,17:30,19:12,20:45
,22-Sep-22,05:35,13:30,17:30,19:09,20:45
,23-Sep-22,05:36,13:45,17:15,19:07,20:30
,24-Sep-22,05:38,13:30,17:15,19:05,20:30
,25-Sep-22,05:40,13:30,17:15,19:02,20:30
,26-Sep-22,05:42,13:30,17:15,19:00,20:30
,27-Sep-22,05:44,13:30,17:15,18:58,20:30
,28-Sep-22,05:46,13:30,17:15,18:55,20:30
,29-Sep-22,05:48,13:30,17:15,18:53,20:30
,30-Sep-22,05:49,13:45,17:15,18:51,20:30
