Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jun-23,03:45,13:30,19:30,21:16,22:45
,02-Jun-23,03:45,13:30,19:30,21:17,22:45
,03-Jun-23,03:45,13:30,19:30,21:18,22:45
,04-Jun-23,03:45,13:30,19:30,21:19,22:55
,05-Jun-23,03:45,13:30,19:30,21:20,22:55
,06-Jun-23,03:45,13:30,19:30,21:21,22:55
,07-Jun-23,03:45,13:30,19:30,21:22,22:55
,08-Jun-23,03:45,13:30,19:30,21:23,22:55
,09-Jun-23,03:45,13:30,19:30,21:23,22:55
,10-Jun-23,03:45,13:30,19:30,21:24,22:55
,11-Jun-23,03:45,13:30,19:30,21:25,22:55
,12-Jun-23,03:45,13:30,19:30,21:26,22:55
,13-Jun-23,03:45,13:30,19:30,21:26,22:55
,14-Jun-23,03:45,13:30,19:30,21:27,22:55
,15-Jun-23,03:45,13:30,19:30,21:27,22:55
,16-Jun-23,03:45,13:30,19:30,21:28,22:55
,17-Jun-23,03:45,13:30,19:30,21:28,22:55
,18-Jun-23,03:45,13:30,19:30,21:29,23:00
,19-Jun-23,03:45,13:30,19:30,21:29,23:00
,20-Jun-23,03:45,13:30,19:30,21:29,23:00
,21-Jun-23,03:45,13:30,19:30,21:30,23:00
,22-Jun-23,03:45,13:30,19:30,21:30,23:00
,23-Jun-23,03:45,13:30,19:30,21:30,23:00
,24-Jun-23,03:45,13:30,19:30,21:30,23:00
,25-Jun-23,03:45,13:30,19:30,21:30,23:00
,26-Jun-23,03:45,13:30,19:30,21:30,23:00
,27-Jun-23,03:45,13:30,19:30,21:30,23:00
,28-Jun-23,03:45,13:30,19:30,21:30,23:00
,29-Jun-23,03:45,13:30,19:30,21:30,23:00
,30-Jun-23,03:45,13:30,19:30,21:30,23:00
