Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Dec-23,06:30,13:00,14:30,16:05,19:20
,02-Dec-23,06:30,13:00,14:30,16:05,19:20
,03-Dec-23,06:30,13:00,14:30,16:04,19:20
,04-Dec-23,06:30,13:00,14:30,16:04,19:20
,05-Dec-23,06:30,13:00,14:30,16:03,19:20
,06-Dec-23,06:30,13:00,14:30,16:03,19:20
,07-Dec-23,06:30,13:00,14:30,16:02,19:20
,08-Dec-23,06:30,13:00,14:30,16:02,19:20
,09-Dec-23,06:30,13:00,14:30,16:02,19:20
,10-Dec-23,06:30,13:00,14:30,16:02,19:20
,11-Dec-23,06:40,13:00,14:30,16:02,19:20
,12-Dec-23,06:40,13:00,14:30,16:01,19:20
,13-Dec-23,06:40,13:00,14:30,16:01,19:20
,14-Dec-23,06:40,13:00,14:30,16:02,19:20
,15-Dec-23,06:40,13:00,14:30,16:02,19:20
,16-Dec-23,06:40,13:00,14:30,16:02,19:20
,17-Dec-23,06:40,13:00,14:30,16:02,19:20
,18-Dec-23,06:45,13:00,14:30,16:02,19:20
,19-Dec-23,06:45,13:00,14:30,16:03,19:20
,20-Dec-23,06:45,13:00,14:30,16:03,19:20
,21-Dec-23,06:45,13:00,14:30,16:04,19:20
,22-Dec-23,06:45,13:00,14:30,16:04,19:20
,23-Dec-23,06:45,13:00,14:30,16:05,19:20
,24-Dec-23,06:45,13:00,14:30,16:05,19:20
,25-Dec-23,06:45,13:00,14:30,16:06,19:20
,26-Dec-23,06:45,13:00,14:30,16:07,19:20
,27-Dec-23,06:45,13:00,14:30,16:07,19:20
,28-Dec-23,06:45,13:00,14:30,16:08,19:20
,29-Dec-23,06:45,13:00,14:30,16:09,19:20
,30-Dec-23,06:45,13:00,14:30,16:10,19:20
,31-Dec-23,06:45,13:00,14:30,16:11,19:20
