Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Nov-23,05:45,13:00,15:00,16:44,19:20
,02-Nov-23,05:45,13:00,15:00,16:42,19:20
,03-Nov-23,05:45,13:00,15:00,16:40,19:20
,04-Nov-23,05:45,13:00,15:00,16:38,19:20
,05-Nov-23,05:45,13:00,15:00,16:37,19:20
,06-Nov-23,05:45,13:00,15:00,16:35,19:20
,07-Nov-23,05:45,13:00,15:00,16:33,19:20
,08-Nov-23,05:50,13:00,15:00,16:32,19:20
,09-Nov-23,05:50,13:00,15:00,16:30,19:20
,10-Nov-23,05:50,13:00,15:00,16:29,19:20
,11-Nov-23,05:50,13:00,14:45,16:27,19:20
,12-Nov-23,05:50,13:00,14:45,16:26,19:20
,13-Nov-23,05:50,13:00,14:45,16:24,19:20
,14-Nov-23,05:50,13:00,14:45,16:23,19:20
,15-Nov-23,06:00,13:00,14:45,16:21,19:20
,16-Nov-23,06:00,13:00,14:45,16:20,19:20
,17-Nov-23,06:00,13:00,14:45,16:19,19:20
,18-Nov-23,06:00,13:00,14:45,16:17,19:20
,19-Nov-23,06:00,13:00,14:45,16:16,19:20
,20-Nov-23,06:00,13:00,14:45,16:15,19:20
,21-Nov-23,06:00,13:00,14:30,16:14,19:20
,22-Nov-23,06:15,13:00,14:30,16:13,19:20
,23-Nov-23,06:15,13:00,14:30,16:12,19:20
,24-Nov-23,06:15,13:00,14:30,16:11,19:20
,25-Nov-23,06:15,13:00,14:30,16:10,19:20
,26-Nov-23,06:15,13:00,14:30,16:09,19:20
,27-Nov-23,06:15,13:00,14:30,16:08,19:20
,28-Nov-23,06:15,13:00,14:30,16:07,19:20
,29-Nov-23,06:15,13:00,14:30,16:07,19:20
,30-Nov-23,06:15,13:00,14:30,16:06,19:20
