Day,DATE,FAJR,zohar,ASR,MAGHRIB,Esha
,01-Feb-22,06:25,13:00,15:30,16:57,19:30
,02-Feb-22,06:25,13:00,15:30,16:59,19:30
,03-Feb-22,06:25,13:00,15:30,17:01,19:30
,04-Feb-22,06:15,13:00,15:45,17:03,19:30
,05-Feb-22,06:15,13:00,15:45,17:05,19:30
,06-Feb-22,06:15,13:00,15:45,17:06,19:30
,07-Feb-22,06:15,13:00,15:45,17:08,19:30
,08-Feb-22,06:15,13:00,15:45,17:10,19:30
,09-Feb-22,06:15,13:00,15:45,17:12,19:30
,10-Feb-22,06:15,13:00,15:45,17:14,19:30
,11-Feb-22,06:00,13:00,15:45,17:16,19:30
,12-Feb-22,06:00,13:00,15:45,17:17,19:30
,13-Feb-22,06:00,13:00,15:45,17:19,19:30
,14-Feb-22,06:00,13:00,15:45,17:21,19:30
,15-Feb-22,06:00,13:00,15:45,17:23,19:30
,16-Feb-22,06:00,13:00,15:45,17:25,19:30
,17-Feb-22,06:00,13:00,15:45,17:27,19:30
,18-Feb-22,05:45,13:00,16:00,17:28,19:30
,19-Feb-22,05:45,13:00,16:00,17:30,19:30
,20-Feb-22,05:45,13:00,16:00,17:32,19:30
,21-Feb-22,05:45,13:00,16:00,17:34,19:30
,22-Feb-22,05:45,13:00,16:00,17:36,19:30
,23-Feb-22,05:45,13:00,16:00,17:37,19:30
,24-Feb-22,05:45,13:00,16:00,17:39,19:30
,25-Feb-22,05:30,13:00,16:15,17:41,19:30
,26-Feb-22,05:30,13:00,16:15,17:43,19:30
,27-Feb-22,05:30,13:00,16:15,17:45,19:30
,28-Feb-22,05:30,13:00,16:15,17:46,19:30
