Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jan-22,06:50,13:00,14:45,16:10,19:30
,02-Jan-22,06:50,13:00,14:45,16:11,19:30
,03-Jan-22,06:50,13:00,14:45,16:12,19:30
,04-Jan-22,06:50,13:00,14:45,16:13,19:30
,05-Jan-22,06:50,13:00,14:45,16:14,19:30
,06-Jan-22,06:50,13:00,14:45,16:16,19:30
,07-Jan-22,06:40,13:00,15:00,16:17,19:30
,08-Jan-22,06:40,13:00,15:00,16:18,19:30
,09-Jan-22,06:40,13:00,15:00,16:20,19:30
,10-Jan-22,06:40,13:00,15:00,16:21,19:30
,11-Jan-22,06:40,13:00,15:00,16:22,19:30
,12-Jan-22,06:40,13:00,15:00,16:24,19:30
,13-Jan-22,06:40,13:00,15:00,16:25,19:30
,14-Jan-22,06:40,13:00,15:00,16:27,19:30
,15-Jan-22,06:40,13:00,15:00,16:28,19:30
,16-Jan-22,06:40,13:00,15:00,16:30,19:30
,17-Jan-22,06:40,13:00,15:00,16:32,19:30
,18-Jan-22,06:40,13:00,15:00,16:33,19:30
,19-Jan-22,06:40,13:00,15:00,16:35,19:30
,20-Jan-22,06:40,13:00,15:00,16:36,19:30
,21-Jan-22,06:35,13:00,15:15,16:38,19:30
,22-Jan-22,06:35,13:00,15:15,16:40,19:30
,23-Jan-22,06:35,13:00,15:15,16:41,19:30
,24-Jan-22,06:35,13:00,15:15,16:43,19:30
,25-Jan-22,06:35,13:00,15:15,16:45,19:30
,26-Jan-22,06:35,13:00,15:15,16:47,19:30
,27-Jan-22,06:35,13:00,15:15,16:48,19:30
,28-Jan-22,06:25,13:00,15:30,16:50,19:30
,29-Jan-22,06:25,13:00,15:30,16:52,19:30
,30-Jan-22,06:25,13:00,15:30,16:54,19:30
,31-Jan-22,06:25,13:00,15:30,16:56,19:30
