Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-22,05:55,13:30,17:00,18:47,20:15
,02-Oct-22,05:55,13:30,17:00,18:45,20:15
,03-Oct-22,05:55,13:30,17:00,18:43,20:15
,04-Oct-22,05:55,13:30,17:00,18:40,20:15
,05-Oct-22,05:55,13:30,17:00,18:38,20:15
,06-Oct-22,05:55,13:30,17:00,18:36,20:15
,07-Oct-22,06:05,13:30,16:45,18:34,20:15
,08-Oct-22,06:05,13:30,16:45,18:31,20:15
,09-Oct-22,06:05,13:30,16:45,18:29,20:15
,10-Oct-22,06:05,13:30,16:45,18:27,20:15
,11-Oct-22,06:05,13:30,16:45,18:25,20:15
,12-Oct-22,06:05,13:30,16:45,18:23,20:15
,13-Oct-22,06:05,13:30,16:45,18:20,20:15
,14-Oct-22,06:20,13:30,16:30,18:18,20:00
,15-Oct-22,06:20,13:30,16:30,18:16,20:00
,16-Oct-22,06:20,13:30,16:30,18:14,20:00
,17-Oct-22,06:20,13:30,16:30,18:12,20:00
,18-Oct-22,06:20,13:30,16:30,18:10,20:00
,19-Oct-22,06:20,13:30,16:30,18:08,20:00
,20-Oct-22,06:20,13:30,16:30,18:06,20:00
,21-Oct-22,06:30,13:30,16:15,18:04,19:45
,22-Oct-22,06:30,13:30,16:15,18:01,19:45
,23-Oct-22,06:30,13:30,16:15,17:59,19:45
,24-Oct-22,06:30,13:30,16:15,17:57,19:45
,25-Oct-22,06:30,13:30,16:15,17:55,19:45
,26-Oct-22,06:30,13:30,16:15,17:54,19:45
,27-Oct-22,06:30,13:30,16:15,17:52,19:45
,28-Oct-22,06:40,13:30,16:15,17:50,19:45
,29-Oct-22,06:40,13:30,16:15,17:48,19:45
,30-Oct-22,05:40,13:00,15:15,16:46,19:30
,31-Oct-22,05:40,13:00,15:15,16:44,19:30
