Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-May-22,04:12,13:30,18:45,20:43,22:15
,02-May-22,04:15,13:30,18:45,20:34,22:30
,03-May-22,04:15,13:30,18:45,20:36,22:30
,04-May-22,04:15,13:30,18:45,20:37,22:30
,05-May-22,04:15,13:30,18:45,20:39,22:30
,06-May-22,04:15,13:30,19:00,20:41,22:30
,07-May-22,04:15,13:30,19:00,20:42,22:30
,08-May-22,04:15,13:30,19:00,20:44,22:30
,09-May-22,04:15,13:30,19:00,20:45,22:30
,10-May-22,04:15,13:30,19:00,20:47,22:30
,11-May-22,04:15,13:30,19:00,20:48,22:30
,12-May-22,04:15,13:30,19:00,20:50,22:30
,13-May-22,04:00,13:30,19:15,20:52,22:45
,14-May-22,04:00,13:30,19:15,20:53,22:45
,15-May-22,04:00,13:30,19:15,20:55,22:45
,16-May-22,04:00,13:30,19:15,20:56,22:45
,17-May-22,04:00,13:30,19:15,20:58,22:45
,18-May-22,04:00,13:30,19:15,20:59,22:45
,19-May-22,04:00,13:30,19:15,21:00,22:45
,20-May-22,04:00,13:30,19:15,21:02,22:45
,21-May-22,04:00,13:30,19:15,21:03,22:45
,22-May-22,04:00,13:30,19:15,21:05,22:45
,23-May-22,04:00,13:30,19:15,21:06,22:45
,24-May-22,04:00,13:30,19:15,21:07,22:45
,25-May-22,04:00,13:30,19:15,21:09,22:45
,26-May-22,04:00,13:30,19:15,21:10,22:45
,27-May-22,04:00,13:30,19:15,21:11,22:45
,28-May-22,04:00,13:30,19:15,21:12,22:45
,29-May-22,04:00,13:30,19:15,21:13,22:45
,30-May-22,04:00,13:30,19:15,21:15,22:45
,31-May-22,04:00,13:30,19:15,21:16,22:45
