Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Sep-22,05:15,13:30,18:15,19:54,21:30
,02-Sep-22,05:30,13:30,18:00,19:52,21:15
,03-Sep-22,05:30,13:30,18:00,19:49,21:15
,04-Sep-22,05:30,13:30,18:00,19:47,21:15
,05-Sep-22,05:30,13:30,18:00,19:45,21:15
,06-Sep-22,05:30,13:30,18:00,19:43,21:15
,07-Sep-22,05:30,13:30,18:00,19:40,21:15
,08-Sep-22,05:30,13:30,18:00,19:38,21:15
,09-Sep-22,05:30,13:30,17:45,19:36,21:00
,10-Sep-22,05:30,13:30,17:45,19:34,21:00
,11-Sep-22,05:30,13:30,17:45,19:31,21:00
,12-Sep-22,05:30,13:30,17:45,19:29,21:00
,13-Sep-22,05:30,13:30,17:45,19:27,21:00
,14-Sep-22,05:30,13:30,17:45,19:24,21:00
,15-Sep-22,05:30,13:30,17:45,19:22,21:00
,16-Sep-22,05:30,13:30,17:45,19:20,20:45
,17-Sep-22,05:45,13:30,17:30,19:17,20:45
,18-Sep-22,05:45,13:30,17:30,19:15,20:45
,19-Sep-22,05:45,13:30,17:30,19:13,20:45
,20-Sep-22,05:45,13:30,17:30,19:11,20:45
,21-Sep-22,05:45,13:30,17:30,19:08,20:45
,22-Sep-22,05:45,13:30,17:30,19:06,20:45
,23-Sep-22,05:45,13:30,17:15,19:04,20:45
,24-Sep-22,06:00,13:30,17:15,19:01,20:45
,25-Sep-22,06:00,13:30,17:15,18:59,20:45
,26-Sep-22,06:00,13:30,17:15,18:57,20:45
,27-Sep-22,06:00,13:30,17:15,18:54,20:45
,28-Sep-22,06:00,13:30,17:15,18:52,20:45
,29-Sep-22,06:00,13:30,17:15,18:50,20:45
,30-Sep-22,06:15,13:30,17:00,18:48,20:30
