Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jun-22,04:15,13:30,19:30,21:11,22:45
,02-Jun-22,04:15,13:30,19:30,21:12,22:45
,03-Jun-22,04:15,13:30,19:30,21:13,22:45
,04-Jun-22,04:00,13:30,19:45,21:14,22:45
,05-Jun-22,04:00,13:30,19:45,21:15,22:55
,06-Jun-22,04:00,13:30,19:45,21:16,22:55
,07-Jun-22,04:00,13:30,19:45,21:17,22:55
,08-Jun-22,04:00,13:30,19:45,21:18,22:55
,09-Jun-22,04:00,13:30,19:45,21:18,22:55
,10-Jun-22,04:00,13:30,19:45,21:19,22:55
,11-Jun-22,04:00,13:30,19:45,21:20,22:55
,12-Jun-22,04:00,13:30,19:45,21:20,22:55
,13-Jun-22,04:00,13:30,19:45,21:21,22:55
,14-Jun-22,04:00,13:30,19:45,21:21,22:55
,15-Jun-22,04:00,13:30,19:45,21:22,22:55
,16-Jun-22,04:00,13:30,19:45,21:22,22:55
,17-Jun-22,04:00,13:30,19:45,21:24,22:55
,18-Jun-22,04:00,13:30,19:45,21:24,23:00
,19-Jun-22,04:00,13:30,19:45,21:24,23:00
,20-Jun-22,04:00,13:30,19:45,21:24,23:00
,21-Jun-22,04:00,13:30,19:45,21:24,23:00
,22-Jun-22,04:00,13:30,19:45,21:25,23:00
,23-Jun-22,04:00,13:30,19:45,21:25,23:00
,24-Jun-22,04:00,13:30,19:45,21:25,23:00
,25-Jun-22,04:00,13:30,19:45,21:25,23:00
,26-Jun-22,04:00,13:30,19:45,21:25,23:00
,27-Jun-22,04:00,13:30,19:45,21:25,23:00
,28-Jun-22,04:00,13:30,19:45,21:25,23:00
,29-Jun-22,04:00,13:30,19:45,21:24,23:00
,30-Jun-22,04:00,13:30,19:45,21:24,23:00
