Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Oct-22,06:15,13:30,17:30,18:42,20:15
,02-Oct-22,06:15,13:30,17:30,18:40,20:15
,03-Oct-22,06:15,13:30,17:30,18:38,20:15
,04-Oct-22,06:15,13:30,17:30,18:35,20:15
,05-Oct-22,06:15,13:30,17:30,18:33,20:15
,06-Oct-22,06:15,13:30,17:30,18:31,20:15
,07-Oct-22,06:15,13:30,17:30,18:29,20:15
,08-Oct-22,06:30,13:30,16:45,18:26,20:00
,09-Oct-22,06:30,13:30,16:45,18:24,20:00
,10-Oct-22,06:30,13:30,16:45,18:22,20:00
,11-Oct-22,06:30,13:30,16:45,18:20,20:00
,12-Oct-22,06:30,13:30,16:45,18:18,20:00
,13-Oct-22,06:30,13:30,16:45,18:15,20:00
,14-Oct-22,06:30,13:30,16:45,18:13,20:00
,15-Oct-22,06:45,13:30,16:30,18:11,19:45
,16-Oct-22,06:45,13:30,16:30,18:09,19:45
,17-Oct-22,06:45,13:30,16:30,18:07,19:45
,18-Oct-22,06:45,13:30,16:30,18:05,19:45
,19-Oct-22,06:45,13:30,16:30,18:03,19:45
,20-Oct-22,06:45,13:30,16:30,18:00,19:45
,21-Oct-22,06:45,13:30,16:30,17:58,19:45
,22-Oct-22,06:45,13:30,16:30,17:56,19:45
,23-Oct-22,06:45,13:30,16:30,17:54,19:45
,24-Oct-22,06:45,13:30,16:30,17:52,19:45
,25-Oct-22,06:45,13:30,16:30,17:50,19:45
,26-Oct-22,06:45,13:30,16:30,17:48,19:45
,27-Oct-22,06:45,13:30,16:30,17:46,19:45
,28-Oct-22,06:45,13:30,16:30,17:45,19:45
,29-Oct-22,06:45,13:30,16:30,17:43,19:45
,30-Oct-22,06:15,13:00,15:15,16:41,19:15
,31-Oct-22,06:15,13:00,15:15,16:39,19:15
