Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-May-22,04:45,13:30,18:45,20:42,22:20
,02-May-22,04:45,13:30,18:45,20:33,22:20
,03-May-22,04:45,13:30,18:45,20:35,22:20
,04-May-22,04:45,13:30,18:45,20:37,22:20
,05-May-22,04:45,13:30,18:45,20:38,22:20
,06-May-22,04:45,13:30,18:45,20:40,22:20
,07-May-22,04:30,13:30,18:45,20:42,22:30
,08-May-22,04:30,13:30,18:45,20:43,22:30
,09-May-22,04:30,13:30,18:45,20:45,22:30
,10-May-22,04:30,13:30,18:45,20:46,22:30
,11-May-22,04:30,13:30,18:45,20:48,22:30
,12-May-22,04:30,13:30,18:45,20:49,22:30
,13-May-22,04:30,13:30,18:45,20:51,22:30
,14-May-22,04:15,13:30,19:00,20:52,22:30
,15-May-22,04:15,13:30,19:00,20:54,22:30
,16-May-22,04:15,13:30,19:00,20:55,22:30
,17-May-22,04:15,13:30,19:00,21:57,22:30
,18-May-22,04:15,13:30,19:00,21:58,22:30
,19-May-22,04:15,13:30,19:00,21:00,22:30
,20-May-22,04:15,13:30,19:00,21:01,22:30
,21-May-22,04:00,13:30,19:15,21:03,22:40
,22-May-22,04:00,13:30,19:15,21:04,22:40
,23-May-22,04:00,13:30,19:15,21:05,22:40
,24-May-22,04:00,13:30,19:15,21:07,22:40
,25-May-22,04:00,13:30,19:15,21:08,22:40
,26-May-22,04:00,13:30,19:15,21:09,22:40
,27-May-22,04:00,13:30,19:15,21:11,22:40
,28-May-22,04:00,13:30,19:15,21:12,22:50
,29-May-22,04:00,13:30,19:15,21:13,22:50
,30-May-22,04:00,13:30,19:15,21:14,22:50
,31-May-22,04:00,13:30,19:15,21:15,22:50
