Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Aug-22,04:00,13:30,19:00,20:54,22:30
,02-Aug-22,04:00,13:30,19:00,20:52,22:30
,03-Aug-22,04:15,13:30,18:45,20:51,22:30
,04-Aug-22,04:15,13:30,18:45,20:49,22:30
,05-Aug-22,04:15,13:30,18:45,20:47,22:30
,06-Aug-22,04:15,13:30,18:45,20:46,22:30
,07-Aug-22,04:15,13:30,18:45,20:44,22:15
,08-Aug-22,04:15,13:30,18:45,20:42,22:15
,09-Aug-22,04:15,13:30,18:45,20:40,22:15
,10-Aug-22,04:30,13:30,18:45,20:38,22:15
,11-Aug-22,04:30,13:30,18:45,20:36,22:15
,12-Aug-22,04:30,13:30,18:30,20:34,22:15
,13-Aug-22,04:30,13:30,18:30,20:33,22:15
,14-Aug-22,04:30,13:30,18:30,20:31,22:15
,15-Aug-22,04:30,13:30,18:30,20:29,22:00
,16-Aug-22,04:30,13:30,18:30,20:27,22:00
,17-Aug-22,04:30,13:30,18:30,20:25,22:00
,18-Aug-22,04:45,13:30,18:30,20:23,22:00
,19-Aug-22,04:45,13:30,18:30,20:20,22:00
,20-Aug-22,04:45,13:30,18:30,20:18,22:00
,21-Aug-22,04:45,13:30,18:30,20:16,22:00
,22-Aug-22,04:45,13:30,18:30,20:14,22:00
,23-Aug-22,04:45,13:30,18:30,20:12,21:45
,24-Aug-22,04:45,13:30,18:15,20:10,21:45
,25-Aug-22,04:45,13:30,18:15,20:08,21:45
,26-Aug-22,05:00,13:30,18:15,20:06,21:45
,27-Aug-22,05:00,13:30,18:15,20:04,21:45
,28-Aug-22,05:00,13:30,18:15,20:01,21:45
,29-Aug-22,05:00,13:30,18:15,19:59,21:30
,30-Aug-22,05:00,13:30,18:15,19:57,21:30
,31-Aug-22,05:00,13:30,18:00,19:55,21:30
