Day,DATE,FAJR,zohar,ASR,MAGHRIB,Esha
,01-Feb-22,06:30,13:00,15:30,16:55,19:15
,02-Feb-22,06:30,13:00,15:30,16:57,19:15
,03-Feb-22,06:30,13:00,15:30,16:59,19:15
,04-Feb-22,06:30,13:00,15:30,17:01,19:15
,05-Feb-22,06:30,13:00,15:30,17:03,19:15
,06-Feb-22,06:30,13:00,15:30,17:04,19:15
,07-Feb-22,06:30,13:00,15:45,17:06,19:15
,08-Feb-22,06:30,13:00,15:45,17:08,19:15
,09-Feb-22,06:15,13:00,15:45,17:10,19:15
,10-Feb-22,06:15,13:00,15:45,17:12,19:15
,11-Feb-22,06:15,13:00,15:45,17:14,19:15
,12-Feb-22,06:15,13:00,15:45,17:15,19:15
,13-Feb-22,06:15,13:00,15:45,17:17,19:15
,14-Feb-22,06:15,13:00,16:00,17:19,19:15
,15-Feb-22,06:15,13:00,16:00,17:21,19:15
,16-Feb-22,06:15,13:00,16:00,17:23,19:15
,17-Feb-22,06:00,13:00,16:00,17:25,19:15
,18-Feb-22,06:00,13:00,16:00,17:26,19:15
,19-Feb-22,06:00,13:00,16:00,17:28,19:15
,20-Feb-22,06:00,13:00,16:00,17:30,19:15
,21-Feb-22,06:00,13:00,16:15,17:32,19:15
,22-Feb-22,06:00,13:00,16:15,17:34,19:15
,23-Feb-22,06:00,13:00,16:15,17:35,19:15
,24-Feb-22,06:00,13:00,16:15,17:37,19:15
,25-Feb-22,05:45,13:00,16:15,17:39,19:15
,26-Feb-22,05:45,13:00,16:15,17:41,19:15
,27-Feb-22,05:45,13:00,16:15,17:43,19:15
,28-Feb-22,05:45,13:00,16:15,17:44,19:30
