Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Aug-22,04:30,13:30,19:00,20:55,22:20
,02-Aug-22,04:30,13:30,19:00,20:53,22:20
,03-Aug-22,04:30,13:30,19:00,20:51,22:20
,04-Aug-22,04:30,13:30,19:00,20:50,22:20
,05-Aug-22,04:30,13:30,19:00,20:48,22:20
,06-Aug-22,04:30,13:30,19:00,20:46,22:20
,07-Aug-22,04:30,13:30,18:45,20:44,22:10
,08-Aug-22,04:30,13:30,18:45,20:43,22:10
,09-Aug-22,04:30,13:30,18:45,20:41,22:10
,10-Aug-22,04:30,13:30,18:45,20:39,22:10
,11-Aug-22,04:30,13:30,18:45,20:37,22:10
,12-Aug-22,04:30,13:30,18:45,20:35,22:10
,13-Aug-22,04:30,13:30,18:45,20:33,22:10
,14-Aug-22,04:45,13:30,18:30,20:31,22:00
,15-Aug-22,04:45,13:30,18:30,20:29,22:00
,16-Aug-22,04:45,13:30,18:30,20:27,22:00
,17-Aug-22,04:45,13:30,18:30,20:25,22:00
,18-Aug-22,04:45,13:30,18:30,20:23,22:00
,19-Aug-22,04:45,13:30,18:30,20:21,22:00
,20-Aug-22,04:45,13:30,18:30,20:19,22:00
,21-Aug-22,05:00,13:30,18:15,20:17,21:40
,22-Aug-22,05:00,13:30,18:15,20:15,21:40
,23-Aug-22,05:00,13:30,18:15,20:13,21:40
,24-Aug-22,05:00,13:30,18:15,20:11,21:40
,25-Aug-22,05:00,13:30,18:15,20:08,21:40
,26-Aug-22,05:00,13:30,18:15,20:06,21:40
,27-Aug-22,05:00,13:30,18:15,20:04,21:40
,28-Aug-22,05:00,13:30,18:00,20:02,21:30
,29-Aug-22,05:00,13:30,18:00,20:00,21:30
,30-Aug-22,05:00,13:30,18:00,19:58,21:30
,31-Aug-22,05:00,13:30,18:00,19:55,21:30
