Day,DATE,FAJR,zohar,ASR,MAGHRIB,Esha
,01-Feb-23,06:45,13:15,15:30,16:55,19:30
,02-Feb-23,06:45,13:15,15:30,16:57,19:30
,03-Feb-23,06:45,13:00,15:30,16:59,19:30
,04-Feb-23,06:45,13:15,15:30,17:01,19:30
,05-Feb-23,06:30,13:15,15:45,17:03,19:30
,06-Feb-23,06:30,13:15,15:45,17:04,19:30
,07-Feb-23,06:30,13:15,15:45,17:06,19:30
,08-Feb-23,06:30,13:15,15:45,17:08,19:30
,09-Feb-23,06:30,13:15,15:45,17:10,19:30
,10-Feb-23,06:30,13:00,15:45,17:12,19:30
,11-Feb-23,06:30,13:15,15:45,17:14,19:30
,12-Feb-23,06:15,13:15,16:00,17:15,19:30
,13-Feb-23,06:15,13:15,16:00,17:17,19:30
,14-Feb-23,06:15,13:15,16:00,17:19,19:30
,15-Feb-23,06:15,13:15,16:00,17:21,19:30
,16-Feb-23,06:15,13:15,16:00,17:23,19:30
,17-Feb-23,06:15,13:00,16:00,17:25,19:30
,18-Feb-23,06:15,13:15,16:00,17:26,19:30
,19-Feb-23,06:00,13:15,16:00,17:28,19:45
,20-Feb-23,06:00,13:15,16:00,17:30,19:45
,21-Feb-23,06:00,13:15,16:00,17:32,19:45
,22-Feb-23,06:00,13:15,16:00,17:34,19:45
,23-Feb-23,06:00,13:15,16:00,17:35,19:45
,24-Feb-23,06:00,13:00,16:00,17:37,19:45
,25-Feb-23,06:00,13:15,16:00,17:39,19:45
,26-Feb-23,05:45,13:15,16:20,17:41,19:45
,27-Feb-23,05:45,13:15,16:20,17:43,19:45
,28-Feb-23,05:45,13:15,16:20,17:44,19:45
