Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-22,05:45,13:15,16:20,17:46,19:45
,02-Mar-22,05:45,13:15,16:20,17:48,19:45
,03-Mar-22,05:45,13:15,16:20,17:50,19:45
,04-Mar-22,05:45,13:00,16:20,17:51,19:45
,05-Mar-22,05:45,13:15,16:20,17:53,19:45
,06-Mar-22,05:30,13:15,16:30,17:55,20:00
,07-Mar-22,05:30,13:15,16:30,17:57,20:00
,08-Mar-22,05:30,13:15,16:30,17:58,20:00
,09-Mar-22,05:30,13:15,16:30,18:00,20:00
,10-Mar-22,05:30,13:15,16:30,18:02,20:00
,11-Mar-22,05:30,13:00,16:30,18:04,20:00
,12-Mar-22,05:30,13:15,16:30,18:05,20:00
,13-Mar-22,05:15,13:15,16:45,18:07,20:15
,14-Mar-22,05:15,13:15,16:45,18:09,20:15
,15-Mar-22,05:15,13:15,16:45,18:10,20:15
,16-Mar-22,05:15,13:15,16:45,18:12,20:15
,17-Mar-22,05:15,13:15,16:45,18:14,20:15
,18-Mar-22,05:15,13:00,16:45,18:16,20:15
,19-Mar-22,05:15,13:15,16:45,18:17,20:15
,20-Mar-22,05:00,13:15,17:00,18:19,20:30
,21-Mar-22,05:00,13:15,17:00,18:20,20:30
,22-Mar-22,05:00,13:15,17:00,18:21,20:30
,23-Mar-22,05:00,13:15,17:00,18:24,20:30
,24-Mar-22,05:00,13:15,17:00,18:26,20:30
,25-Mar-22,05:00,13:00,17:00,18:27,20:30
,26-Mar-22,05:00,13:15,17:00,18:29,20:30
,27-Mar-22,05:45,13:30,18:15,19:31,21:30
,28-Mar-22,05:45,13:30,18:15,19:33,21:30
,29-Mar-22,05:45,13:30,18:15,19:34,21:30
,30-Mar-22,05:45,13:30,18:15,19:36,21:30
,31-Mar-22,05:45,13:30,18:15,19:38,21:30
