Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-22,05:45,13:30,18:00,19:42,21:45
,02-Apr-22,05:13,13:30,18:00,19:50,21:45
,03-Apr-22,05:11,13:30,18:15,19:52,21:45
,04-Apr-22,05:09,13:30,18:15,19:54,21:45
,05-Apr-22,05:07,13:30,18:15,19:55,21:45
,06-Apr-22,05:04,13:30,18:15,19:57,21:45
,07-Apr-22,05:02,13:30,18:15,19:59,21:45
,08-Apr-22,05:00,13:30,18:15,20:00,21:45
,09-Apr-22,04:58,13:30,18:15,20:02,21:45
,10-Apr-22,04:56,13:30,18:30,20:04,21:45
,11-Apr-22,04:53,13:30,18:30,20:05,21:45
,12-Apr-22,04:51,13:30,18:30,20:07,21:45
,13-Apr-22,04:49,13:30,18:30,20:09,21:45
,14-Apr-22,04:47,13:30,18:30,20:10,21:45
,15-Apr-22,04:45,13:30,18:30,20:12,21:45
,16-Apr-22,04:43,13:30,18:30,20:14,22:00
,17-Apr-22,04:40,13:30,18:45,20:15,22:00
,18-Apr-22,04:37,13:30,18:45,20:17,22:00
,19-Apr-22,04:35,13:30,18:45,20:19,22:00
,20-Apr-22,04:33,13:30,18:45,20:20,22:00
,21-Apr-22,04:30,13:30,18:45,20:22,22:00
,22-Apr-22,04:28,13:30,18:45,20:24,22:00
,23-Apr-22,04:26,13:30,18:45,20:25,22:00
,24-Apr-22,04:23,13:30,19:00,20:27,22:00
,25-Apr-22,04:21,13:30,19:00,20:29,22:00
,26-Apr-22,04:19,13:30,19:00,20:30,22:00
,27-Apr-22,04:16,13:30,19:00,20:32,22:00
,28-Apr-22,04:14,13:30,19:00,20:33,22:00
,29-Apr-22,04:12,13:30,19:00,20:35,22:00
,30-Apr-22,04:09,13:30,19:00,20:37,22:00
,,,,,,
,,,,,,
,,,,,,
