Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Apr-22,06:00,13:30,18:00,19:37,21:15
,02-Apr-22,05:25,13:30,18:00,19:54,21:45
,03-Apr-22,05:23,13:30,18:00,19:56,21:45
,04-Apr-22,05:21,13:30,18:15,19:57,21:45
,05-Apr-22,05:18,13:30,18:15,19:59,21:45
,06-Apr-22,05:16,13:30,18:15,20:01,21:45
,07-Apr-22,05:14,13:30,18:15,20:02,21:45
,08-Apr-22,05:12,13:30,18:15,20:04,21:45
,09-Apr-22,05:09,13:30,18:15,20:06,21:45
,10-Apr-22,05:07,13:30,18:15,20:08,21:45
,11-Apr-22,05:05,13:30,18:30,20:09,21:45
,12-Apr-22,05:03,13:30,18:30,20:11,22:00
,13-Apr-22,05:00,13:30,18:30,20:13,22:00
,14-Apr-22,04:57,13:30,18:30,20:14,22:00
,15-Apr-22,04:55,13:30,18:30,20:16,22:00
,16-Apr-22,04:52,13:30,18:30,20:18,22:00
,17-Apr-22,04:49,13:30,18:30,20:19,22:00
,18-Apr-22,04:47,13:30,18:45,20:21,22:00
,19-Apr-22,04:45,13:30,18:45,20:23,22:00
,20-Apr-22,04:42,13:30,18:45,20:24,22:00
,21-Apr-22,04:39,13:30,18:45,20:26,22:00
,22-Apr-22,04:37,13:30,18:45,20:28,22:15
,23-Apr-22,04:34,13:30,18:45,20:29,22:15
,24-Apr-22,04:31,13:30,18:45,20:31,22:15
,25-Apr-22,04:28,13:30,19:15,20:33,22:15
,26-Apr-22,04:25,13:30,19:15,20:34,22:15
,27-Apr-22,04:23,13:30,19:15,20:36,22:15
,28-Apr-22,04:20,13:30,19:15,20:37,22:15
,29-Apr-22,04:18,13:30,19:15,20:39,22:15
,30-Apr-22,04:16,13:30,19:15,20:41,22:15
